Recipient.Organization,Appealing.Agency.NATIONAL.INTERNATIONAL,donorCount,totalContrib,countryCount
Arab Gulf Programme for United Nations Development Organizations,,1,2206555,1
Arab Medical Association,,1,286123,1
Arab Network for Tolerance,SINGO,1,69739,1
Arab Physicians Federation,,1,100000,1
Arab Reporters for Investigative Journalism,SINGO,1,108041,1
Arab Women Association,International NGO,1,207684,1
Aragti Relief and Development Organization,National NGO,2,495879,1
Arbeiter-Samariter-Bund Deutschland e.V,International NGO,5,16305790,16
Arche de l'Alliance,,1,663110,1
Arche Nova E.V. - Initiative for People in Need,International NGO,2,11654144,8
Architectes de l'urgence,,2,234859,2
Armadilla S.c.s. Onlus,,1,684839,2
Armée du salut,International NGO,1,229803,1
Armée du Salut Kalemie,Affiliated National NGO,1,668864,1
Armenian Red Cross Society,,1,868386,2
ARTICLE 19,International NGO,1,874033,1
Article 36,International NGO,1,1046827,1
Ärzte ohne Grenzen e.V.,,1,427350,1
Asamblea De Cooperacion Por La Paz,International NGO,3,713972,1
ASCHIANA,National NGO,1,20000,1
ASEP,,1,164822,1
Asian Development Bank,,1,20000000,1
Asian Disaster Preparedness Centre,SINGO,2,12623930,4
Asian Network for Free Election,,1,356960,2
Asociacion de Trabajadores y Tecnicos Sin Fronteras,International NGO,1,2033341,2
asociacion para la cooperacion con el sur,International NGO,1,879510,1
Asociación Salvadoreña de Ayuda Humanitaria,National NGO,1,350000,1
Assessment Capacities Project,International NGO,2,1191870,2
Assistência Médica Internacional (AMI),International NGO,1,113573,2
Associação Saúde em Português,,1,29642,1
Associates in Rural Development,,1,500000,1
Association d'aide à la femme et de la communication,,1,584316,1
Association de Lutte Contre le Sida,,1,221045,1
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",,1,35014,1
Association Develop Horn,Undefined,1,314511,1
Association for Aid and Relief Japan,International NGO,3,7636391,8
Association for Empowerment of Persons with Disabilities,National NGO,1,84911,1
"Association for Forests, Development and Conservation",National NGO,1,207848,1
Association for Gender Awareness and Human Empowerment,National NGO,1,496446,1
Association for Humanitarian Development,Local NGOs,1,124712,1
Association for Humanity Development,,1,49127,1
Association for the Advancement of Democratic Rights-Legal Aid,,1,217608,1
Association for the Prevention of Torture,International NGO,1,1198344,3
Association Francois-Xavier Bagnoud,International NGO,1,300000,1
Association Fraternite Universelle,,1,69525,1
Association Idée-elles,International NGO,1,249958,1
Association Locale pour le Développement Intégral,National NGO,1,3576974,1
Association Morija,International NGO,1,2349659,1
Association of Development Awareness and Motivation,Local NGOs,1,166937,1
Association of Evangelicals in Africa,,1,2314950,1
Association of International Development Agencies,National NGO,1,181761,1
Association Persis Valais,Undefined,1,148449,1
"Association pour la Solidarité, le Développement et l'Intégration Sociale",National NGO,1,13699,1
Association pour le développement de M'Bres,,1,448333,1
Association pour le développement social et la sauvegarde de l’environnement,Local NGOs,1,4024275,1
Association pour le Progrès et la Défense des Droits des Femmes,National NGO,1,39099,1
Associazione Amici dell’Oasis Togo,International NGO,1,243518,1
Associazione Volontari per il Servizio Internazionale,International NGO,6,27226360,10
Asylum Access,International NGO,1,268882,1
ATLAS,,1,294574,1
Atlas Alliance,International NGO,1,383717,1
Australian Red Cross,,1,6011563,5
Austrian Red Cross,,3,7456156,9
Aviation Sans Frontieres,International NGO,2,3359622,6
Aviation Sans Frontieres Belgium,International NGO,1,3781171,1
Aviation Sans Frontieres France,International NGO,1,0,1
AVREO,,1,207564,1
Awaz Foundation Pakistan Center for Development Services,,1,231668,1
Aweil Relief Agency for Reintegration and Development,Local NGOs,1,42588,1
Aweil Window of Opportunities and Development Agency,,2,346000,1
Ayuda en Accion,International NGO,2,1117849,1
AYUUB Organization,,1,380391,1
Azat Foundation,Local NGOs,1,124997,1
Azza Women Association,National NGO,1,140000,1
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,,1,229125,1
Badil Resource Center for Palestinian Residency and Refugee Rights,National NGO,1,279000,1
Badin Development Organization,Local NGOs,1,152123,1
Bahamas Red Cross Society,,1,10000,1
Bakpiny Community Development Agency,Local NGOs,1,53942,1
"Balay Mindanaw Foundation, Inc.",,1,105485,1
Balochistan Environmental and Educational Journey,Local NGOs,1,616197,1
Balochistan Rural Development Society,Local NGOs,1,494739,1
Baluchistan Boys Scouts Association,,1,112896,1
Bangladesh Rural Advancement Committee,SINGO,2,1912214,2
Baptist Aotearoa NZ Aid,International NGO,1,57252,1
Bär + Leu,,1,148280,1
Bashaer,,1,39113,1
Basic Awareness Rehabilitation & Networking,,1,152490,1
Basic Education and Employable Skill Training,,1,556638,2
BBC Media Action,International NGO,1,1500000,1
BBC World Service Trust,International NGO,3,791523,2
Beaconhouse,,1,8439,1
Bel Avenir,,1,52356,1
Belgian Red Cross,,2,24873277,20
Belize Red Cross Society,,1,10000,1
Benposta Nación de Muchachos,National NGO,1,117971,1
Bent-e-Hawa Peace and Development Organization,Undefined,1,103454,1
BEPROD,,1,121785,1
BID,,1,238095,1
Bilateral (affected government),,162,1809475627,113
Bilkent Holding,,2,190127,2
Bioforce,,1,53981,1
Bjerknes Centre for Climate Research,,1,653562,1
Bosnia & Herzegovina,,1,51129,1
Brazilian Red Cross,,1,21030,1
Bright Future Organization,International NGO,1,229863,1
British Airways,,1,480000,1
British Red Cross,,11,33218915,6
Brookings Institute,National NGO,3,1827420,1
Brother's Brother Foundation,,2,22005500,2
Brotherhood Association humanity of Human Rights,,1,540945,1
Buco Cotonou,,1,23104,1
Buddhistforbundet,Undefined,1,167616,1
Bulay Development Organization,National NGO,1,144482,1
Bulgarian Red Cross,,3,52066,2
Bundesanstalt Technisches Hilfswerk,,1,1321474,4
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),,1,146494,1
Burnet Institute,,1,431448,1
Burundi Red Cross,,1,13605,1
Burundikids e.V.,International NGO,1,159462,1
Business & Human Rights Resource Centre,International NGO,1,132803,1
Business and Professional Women Organization,,2,400000,1
CAIPA,,1,7898894,1
Cairo Institute for Human Rights Studies,SINGO,1,670466,1
Cambodian Mine Action Centre,,1,2954146,1
Cambodian Red Cross,,1,197433,1
Cameroon Red Cross Society,,1,344828,1
Campana Colombiana Contra Minas,,1,1840913,1
CAMPS/CELPA,,1,390099,1
CANADEM,International NGO,2,3151198,4
Canadian Catholic Organization for Development and Peace,International NGO,1,4562675,2
Canadian Development and Peace,International NGO,1,42161,1
Canadian Journalists Free Expression,International NGO,1,1773188,1
Canadian Red Cross Society,,15,54747604,7
Canadian Relief Foundation,,1,857143,1
Candle Light,Undefined,1,147968,1
CARE-UK,International NGO,3,12059185,7
CARE Australia,International NGO,1,458567,2
CARE Austria,International NGO,1,23796042,7
CARE Canada,International NGO,1,18174851,11
Care Czech Republic,International NGO,1,151356,1
CARE France,International NGO,3,26685277,14
Care Germany,International NGO,3,51765473,19
CARE International,International NGO,36,267174604,44
CARE International Switzerland in Sudan,International NGO,5,7538754,1
CARE Kenya,Affiliated National NGO,1,199996,1
CARE Luxembourg,International NGO,1,569930,3
CARE Netherlands,International NGO,1,9729150,9
CARE Norway,International NGO,2,7958035,6
Care Peru,Affiliated National NGO,1,350000,1
CARE Somalia,Affiliated National NGO,7,2885655,1
Care Sudan,Affiliated National NGO,2,932006,2
CARE USA,International NGO,10,13233147,4
CARGOMA,,1,538191,1
Caribbean Disaster Emergency Response Agency,,2,1172224,3
CARICOM Regional Development Programme,,2,536225,1
CARITAS,International NGO,28,134390020,57
Caritas Austria,International NGO,2,2625685,4
CARITAS BUNIA,Affiliated National NGO,1,1037959,1
CARITAS BUTEMBO,Affiliated National NGO,1,806142,1
Caritas Congo,Affiliated National NGO,1,1126526,1
Caritas Czech Republic,International NGO,1,467713,4
Caritas Denmark,International NGO,1,4336537,6
CARITAS DEV GOMA,Affiliated National NGO,1,2029637,1
Caritas Dev Kalemie,Affiliated National NGO,1,429908,1
Caritas Développement DRC,Affiliated National NGO,1,4335840,1
CARITAS DUNGU,Affiliated National NGO,1,2074808,1
Caritas France,International NGO,2,2428537,3
Caritas Germany (DCV),International NGO,7,73531687,32
Caritas Haiti,Affiliated National NGO,1,197235,1
CARITAS INTERNATIONALIS,International NGO,1,957711,1
Caritas Kananga,Affiliated National NGO,1,1259441,1
Caritas Katanga,Affiliated National NGO,1,149319,1
CARITAS KINDU,Affiliated National NGO,1,2428134,1
Caritas Lebanon Migrants Center,Affiliated National NGO,5,7699312,2
Caritas New Zealand,International NGO,2,105064,2
Caritas Norway,International NGO,1,3428399,4
Caritas Spain,International NGO,1,1112910,3
Caritas Switzerland,International NGO,3,8102369,5
CARITAS TCHUMBE,Affiliated National NGO,2,221991,1
CARITAS UVIRA,Affiliated National NGO,1,462453,1
Catholic Agency for Overseas Development,International NGO,7,19905705,9
Catholic Diocese of Torit,,2,2283669,2
Catholic Medical Missons Board,International NGO,1,50000,1
Catholic Organisation for Relief and Development Aid,International NGO,4,11336440,8
Catholic Relief Services,International NGO,20,684724644,44
Cavish Development Foundation,National NGO,1,56492,1
Cchin HR Organization,,1,104849,1
CEDI,,1,343003,1
Centarl Regions Livestock Professional Association,,1,200000,1
Center for Applied Linguistics,,1,821657,1
Center for Citizenship Education,,1,27211,1
Center for Culture and Development,,1,192087,2
Center for Defending Freedom of Journalists,,1,247291,1
"Center for Emergency Aid and Rehabilitation, Inc.",National NGO,1,1214238,1
Center for Humanitarian Services,,1,7010,1
Center for International Studies and Cooperation,International NGO,1,2103251,2
Center for Peace and Democracy,National NGO,1,1951719,1
Center for Research on the Epidemiology of Disasters,,1,823740,1
Center for the Defence of the Individual,National NGO,2,378633,1
Center for Victims of Torture,International NGO,3,12863517,8
Center for Women’s Legal Research and Consulting,,1,202407,1
Center of Excellence for Rural Development,National NGO,1,722242,1
Centers for Disease Control,,1,425112308,1
Centers for Disease Control Foundation,International NGO,9,21580000,4
Central Community Chest of Japan,,1,686813,1
Central Emergency Response Fund,,152,-2585443,2
Centre canadien d'étude et de coopération internationale (CECI),,2,6438150,5
Centre d'Enseignement et de Recherche en Action Humanitaire,,1,544352,2
Centre de Promotion Socio-Sanitaire,,1,262455,1
Centre de Recherche et d'Appui aux Initiatives de Développement Intégré,,1,349470,1
Centre de Support en Santé Internationale,SINGO,1,400000,1
Centre for Civil and Political Rights,,1,263089,1
Centre for International Studies and Cooperation ,,2,9654980,4
Centre for Research on the Epidemiology of Disasters,,1,100100,1
Centre for the Coordination of Natural Disaster Prevention in Central America,,2,273873,1
Centre pour la Promotion de la Sante,,1,296470,1
Centro de Estudios y Prevencion de Desastres,National NGO,1,1303302,1
Centro Integral de Rehabilitación de Colombia,,1,586151,1
Centrum voor Afrikaanse Cultuur,,1,4372,1
CEVA Logistics,,1,23171,2
CFD,,1,236798,1
Chaîne du Bonheur,,1,954035,1
Chapman Freeborn Airchartering,,1,860511,7
Charitable Society for Social Welfare,National NGO,2,1525009,2
Charities Aid Foundation,International NGO,1,132415,1
Charity Palestinian NGO,Undefined,1,227085,1
Chemonics International Inc.,,1,57692889,1
Child Care Society,Undefined,1,470000,1
Child Development Foundation,,1,535000,1
Child Rights Connect,International NGO,1,8126,1
Child Rights Information Network,,1,407997,1
ChildFund International,International NGO,3,5663863,4
"Children's Global Network, Pakistan (Guarantee) Limited",,1,845834,1
Children without Borders,International NGO,2,2211585,4
Chilean Red Cross,,4,3755000,1
China Foundation for Poverty Alleviation,National NGO,1,50000,1
Chrétiens pour le Sahel,International NGO,1,190508,1
Christian Aid,International NGO,1,945690,1
Christian Blind Mission,International NGO,1,186533,1
Christian Children's Fund ,International NGO,1,850492,1
Christian Mission Aid,International NGO,4,7222688,2
Christian Mission for Development,National NGO,4,3191711,1
Christian Outreach Relief and Development,International NGO,1,1590000,1
Christian Peacemaker Teams,,1,261048,1
Christian Recovery and Development Agency,National NGO,4,1466534,2
Christian Solidarity International,International NGO,1,54992,1
Christoffel-Blindenmission,International NGO,1,1916620,3
CitiHope International,International NGO,1,709000,1
Citizen's Commission for Human Development,National NGO,1,115498,1
"Citizens' Disaster Response Center, Inc",National NGO,1,373206,1
Civi Development Organization,National NGO,1,248903,1
Civic Coalition for Palestinian Rights in Jerusalem,National NGO,1,586829,1
Clear Path International,International NGO,1,3000000,1
Cleared Ground Demining Ltd.,International NGO,1,448187,1
Clinton Bush Haiti Fund,,3,1231537,1
Clinton Foundation,,4,589000,1
Clinton Health Access Initiative,,2,706803,2
Clowns without Borders,International NGO,1,110385,1
Cluster Munition Coalition,,2,815397,1
Coalition for the International Criminal Court,International NGO,1,520824,1
Coalition of Dutch NGOs,International NGO,1,150000,1
Coalition to Stop Use of Child Soldiers,International NGO,1,358392,1
Collectif du developpement et du secours syrien,International NGO,1,170771,1
Collectif Haïti de France,International NGO,1,41715,1
Collegio Universitario Aspirante e Medici Missionari,,6,854754,1
Colombian Red Cross Society,,4,2177905,1
Comitato Collaborazione Medica,International NGO,6,5891597,2
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,International NGO,6,13161192,3
Comitato Internationale per lo Sviluppo dei Popoli,International NGO,6,16733327,8
Comité d'Aide Médicale,International NGO,4,3407127,4
Comité d’Appui à l’Auto Promotion,,1,1199950,1
Commission diocésaine justice et paix (CDJP),,1,1005638,1
Common Humanitarian Fund,,423,268639560,6
Community Activity for Development and Relief Organization,,1,404169,1
Community Aid for Development,,1,87711,1
Community and Family Services International,SINGO,1,508765,1
Community Appraisal & Motivation Program,National NGO,1,379261,1
Community Appraisal Programme,,1,257299,1
Community Bridge Initiative,National NGO,1,43100,1
Community Development Organization,Undefined,1,100967,1
Community Foundation of Broward,,1,10000,1
Community Health and AIDS Mitigation Project,International NGO,1,198000,1
Community Humanitarian Emergency Board,,1,993963,1
Community Media Network,SINGO,1,15253,1
Community Research and Development Organization,,1,207217,1
Community Trust Fund,Undefined,1,25000,1
"Comoros Red Crescent, The",,2,88116,1
Compact AS,,1,299748,1
Concern Universal,International NGO,2,2275318,4
Concern Worldwide,International NGO,15,232962148,21
CONCORD,International NGO,1,97087,1
Confident Children out of Conflict,Local NGOs,4,1236349,1
Conflict Dynamics International,International NGO,1,314465,1
Consejo Comunitario Mayor de la Asociación Campesina Integral del Atrato,,1,248615,1
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",International NGO,1,18308700,1
Consortium of British Humanitarian Agencies,International NGO,1,32591731,1
Control Arms,,1,1836942,1
Convoy of Hope,International NGO,1,0,1
Coof Havanna,Undefined,1,332402,1
Coopération Humanitaire Luxembourg,,1,182626,1
Cooperative for Assistance and Relief Everywhere,International NGO,2,1700000,4
Cooperative Housing Foundation International,International NGO,3,88006048,11
Cooperative League of the USA,,1,2543312,3
Cooperazione E Sviluppo - CESVI,International NGO,5,21628406,11
Cooperazione Internazionale - COOPI,International NGO,9,125788447,22
Cooperazione Internazionale Sud Sud,International NGO,1,1091405,1
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,International NGO,1,349933,1
Coordination Of Rehabilitation Services For Afghanistan,National NGO,1,1221790,1
COPE - The Cooperative Orthotic and Prosthetic Enterprise,National NGO,1,583776,1
Corporación Desarollo y Paz del Magdalena Medio,National NGO,1,233159,1
Corporación Gestión Ecuador,,1,100000,1
Corporacion Opcion Legal,,1,233935,1
Costa Rican Red Cross,,1,312500,1
Council of Europe Development Bank,,2,424565,2
Counselling Services Unit,,1,25000,1
Counterpart International,International NGO,1,28031074,5
CPR Savers and First Aid Supply,,1,438991,5
CRC - NGO Group for the Convention on the Rights of the Child,International NGO,1,242106,1
CRIC - Centro Regionale di Intervento per la Cooperazione,International NGO,1,380952,1
Crisis Action,International NGO,1,325045,1
Croatian Red Cross,,1,715587,5
Croix Rouge Katanga,,2,157696,1
Cross International Cathoilc Outreach,International NGO,1,10000,1
Crown Agents,,1,1365305,2
CRRDC-TD,,1,1031250,1
Culture and Free Thought Association,National NGO,1,366318,1
Cumberland Pharmaceuticals Inc,,1,0,1
CWS Japan,International NGO,1,70189,2
Cyprus Red Cross,,1,50000,1
Czech Evang. Diacony,National NGO,1,354340,2
Czech Red Cross,,1,86580,1
Daaralsalam Development Association,National NGO,1,429734,1
DAC - Danish Afghan Committee,International NGO,2,3854814,1
DAC Aviation International,,1,66899562,1
DACAAR,International NGO,3,24527764,1
Dag Hammarskjold Scholarship Fund for Journalists,,1,43329,1
Damascus People Participation,National NGO,1,414278,1
Danchurchaid / Danish De-mining Group,International NGO,1,1047120,1
Danish Committee for Aid to Afghan Refugees,International NGO,1,3883765,1
Danish De-mining Group,International NGO,10,30326236,10
Danish Mission Council Development,International NGO,1,806737,12
Danish Red Cross,,5,109922619,39
Danish Refugee Council,International NGO,19,467771701,45
Danmission,International NGO,1,406345,1
Darya Organization for Developing Woman and Community,National NGO,1,250380,1
dawa Islamic organization,Undefined,1,47832,1
DEH Relief and Development Organization,National NGO,1,443116,1
Dejarup,,1,61820,1
Delvon Assistance for Social Harmony (DASH),National NGO,1,334518,1
Demining Agency for Afghanistan,National NGO,1,4500000,1
DEMIRA,International NGO,1,5574694,4
Democratic Control of Armed Forces,,1,3225806,1
Demos Institute,,1,333667,1
Den norske forfatterforening,,1,34343,1
Den norske Helsingforskomite,International NGO,1,228651,2
Den Norske Kirke,,1,112038,1
Den norske lægeforening - UD-tilskudd,,1,1271471,4
Department of Ecumenical Relations and Development,,1,928393,1
Desert Locust Control Organization for Eastern Africa,,1,795141,2
Det Norske Menneskerettighetsfond,International NGO,1,2909874,1
Deutsche Gesellschaft für Internationale Zusammenarbeit,,4,232101089,36
Deutsche Welthungerhilfe e.V. (German Agro Action),International NGO,8,265202090,39
Deutscher Entwicklungsdienst,,1,20604,1
Deutsches Komitee fur Katastrophenvorsorge e.V.,,1,1081568,1
Devcon,,1,103635,1
Development Aid from People to People,International NGO,1,331043,1
Development Alternatives Inc.,International NGO,1,549634,1
Development and Peace,International NGO,2,12651899,10
Development and Regeneration Association,,1,59333,1
Development Education Network for Liberia,National NGO,1,69661,1
Development Frontiers International,International NGO,1,411860,1
Development Initiatives,,3,1645984,1
Development Initiatives Access Link,,2,3886087,1
Development Workshop,International NGO,1,845720,1
Developmental Action Without Border (Nabaa),National NGO,1,761980,1
DHL International,,1,12846,2
DIA - Social Justice in Development,,1,51906,1
Diakonia World Federation,International NGO,2,14134991,3
Diakonie Katastrophenhilfe,International NGO,2,27878823,10
DIAKONISCHES WERK DER EKD,International NGO,1,2254975,2
Dialog Forening,,1,252300,1
