Region,District,Sector/MDA/MMDA,Central GOG and CF: Comp of Emp,Central GOG and CF: Goods/Service,Central GOG and CF: Assets (Capital),Central GOG and CF: Total,IGF: Comp of Emp,IGF: Goods/Service,IGF: Assets (Capital),IGF: Total,Funds/Others: Comp of Emp,Funds/Others: Goods/Service,Funds/Others: Assets (Capital),Funds/Others: Total,Donor: Comp of Emp,Donor: Goods/Service,Donor: Assets (Capital),Donor: Total,Grand Total Less NREG / Statutory
Ashanti Region,Adansi_North,Physical Planning,"38,867","2,904","15,162","56,933",0,0,0,0,0,0,0,0,0,0,0,0,"56,933"
Ashanti Region,Adansi_North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Town and Country Planning,"38,867","2,904","15,162","56,933",0,0,0,0,0,0,0,0,0,0,0,0,"56,933"
Ashanti Region,Adansi_North,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Social Welfare & Community Development,"100,472","17,036",0,"117,508",0,0,0,0,0,0,0,0,0,0,0,0,"117,508"
Ashanti Region,Adansi_North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Social Welfare,"31,426","8,177",0,"39,603",0,0,0,0,0,0,0,0,0,0,0,0,"39,603"
Ashanti Region,Adansi_North,Community Development,"69,046","8,859",0,"77,905",0,0,0,0,0,0,0,0,0,0,0,0,"77,905"
Ashanti Region,Adansi_North,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Works,"38,390","10,316","106,410","155,115",0,0,0,0,0,0,0,0,0,"46,405","41,025","87,429","242,545"
Ashanti Region,Adansi_North,Office of Departmental Head,"27,065",0,"20,000","47,065",0,0,0,0,0,0,0,0,0,0,0,0,"47,065"
Ashanti Region,Adansi_North,Public Works,"11,324",0,0,"11,324",0,0,0,0,0,0,0,0,0,0,0,0,"11,324"
Ashanti Region,Adansi_North,Water,0,"5,000",0,"5,000",0,0,0,0,0,0,0,0,0,"46,405","41,025","87,429","92,429"
Ashanti Region,Adansi_North,Feeder Roads,0,"5,316","86,410","91,726",0,0,0,0,0,0,0,0,0,0,0,0,"91,726"
Ashanti Region,Adansi_North,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,"Trade, Industry and Tourism","14,278","8,000",0,"22,278",0,0,0,0,0,0,0,0,0,0,0,0,"22,278"
Ashanti Region,Adansi_North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Cottage Industry,"14,278",0,0,"14,278",0,0,0,0,0,0,0,0,0,0,0,0,"14,278"
Ashanti Region,Adansi_North,Tourism,0,"8,000",0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
Ashanti Region,Adansi_North,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Disaster Prevention,0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
Ashanti Region,Adansi_North,,0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
Ashanti Region,Adansi_North,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Multi Sectoral,"1,155,058","1,240,121","1,684,178","4,079,356","55,523","259,108","54,740","369,371",0,0,0,0,0,"519,538","576,751","1,096,289","5,545,017"
Ashanti Region,Adansi_South,Adansi South District - New Edubiase,"1,155,058","1,240,121","1,684,178","4,079,356","55,523","259,108","54,740","369,371",0,0,0,0,0,"519,538","576,751","1,096,289","5,545,017"
Ashanti Region,Adansi_South,Central Administration,"416,246","332,424","1,041,668","1,790,338","55,523","259,108","36,740","351,371",0,0,0,0,0,"42,720","151,751","194,471","2,336,180"
Ashanti Region,Adansi_South,Administration (Assembly Office),"416,246","332,424","1,041,668","1,790,338","55,523","259,108","36,740","351,371",0,0,0,0,0,"42,720","151,751","194,471","2,336,180"
Ashanti Region,Adansi_South,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,"Education, Youth and Sports",0,"42,742","510,000","552,742",0,0,"8,000","8,000",0,0,0,0,0,"443,902","275,000","718,902","1,279,644"
Ashanti Region,Adansi_South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Education,0,"38,742","510,000","548,742",0,0,"8,000","8,000",0,0,0,0,0,"443,902","275,000","718,902","1,275,644"
Ashanti Region,Adansi_South,Sports,0,"4,000",0,"4,000",0,0,0,0,0,0,0,0,0,0,0,0,"4,000"
Ashanti Region,Adansi_South,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Health,"120,941","236,371",0,"357,312",0,0,0,0,0,0,0,0,0,0,"100,000","100,000","457,312"
Ashanti Region,Adansi_South,Office of District Medical Officer of Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Environmental Health Unit,"120,941","217,000",0,"337,941",0,0,0,0,0,0,0,0,0,0,"100,000","100,000","437,941"
Ashanti Region,Adansi_South,Hospital services,0,"19,371",0,"19,371",0,0,0,0,0,0,0,0,0,0,0,0,"19,371"
Ashanti Region,Adansi_South,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Agriculture,"422,205","515,881",0,"938,086",0,0,0,0,0,0,0,0,0,"32,916",0,"32,916","971,002"
Ashanti Region,Adansi_South,,"422,205","515,881",0,"938,086",0,0,0,0,0,0,0,0,0,"32,916",0,"32,916","971,002"
Ashanti Region,Adansi_South,Physical Planning,"17,491","2,904",162,"20,557",0,0,0,0,0,0,0,0,0,0,0,0,"20,557"
Ashanti Region,Adansi_South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Town and Country Planning,"17,491","2,904",162,"20,557",0,0,0,0,0,0,0,0,0,0,0,0,"20,557"
Ashanti Region,Adansi_South,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Social Welfare & Community Development,"133,170","74,483",0,"207,654",0,0,0,0,0,0,0,0,0,0,0,0,"207,654"
Ashanti Region,Adansi_South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Social Welfare,"133,170","65,624",0,"198,795",0,0,0,0,0,0,0,0,0,0,0,0,"198,795"
Ashanti Region,Adansi_South,Community Development,0,"8,859",0,"8,859",0,0,0,0,0,0,0,0,0,0,0,0,"8,859"
Ashanti Region,Adansi_South,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Works,"45,004","15,316","132,348","192,668",0,0,"10,000","10,000",0,0,0,0,0,0,"50,000","50,000","252,668"
Ashanti Region,Adansi_South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Public Works,"45,004",0,"25,000","70,004",0,0,0,0,0,0,0,0,0,0,0,0,"70,004"
Ashanti Region,Adansi_South,Water,0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
Ashanti Region,Adansi_South,Feeder Roads,0,"5,316","107,348","112,664",0,0,"10,000","10,000",0,0,0,0,0,0,"50,000","50,000","172,664"
Ashanti Region,Adansi_South,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,"Trade, Industry and Tourism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Disaster Prevention,0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
Ashanti Region,Adansi_South,,0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
Ashanti Region,Adansi_South,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Adansi_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Multi Sectoral,"1,246,960","2,117,644","1,286,544","4,651,148","42,768","548,759","70,000","661,527",0,0,0,0,0,"190,024","310,658","500,682","5,817,274"
Ashanti Region,Afigya_Kwabre,Afigya-Kwabere District - Kodie,"1,246,960","2,117,644","1,286,544","4,651,148","42,768","548,759","70,000","661,527",0,0,0,0,0,"190,024","310,658","500,682","5,817,274"
Ashanti Region,Afigya_Kwabre,Central Administration,"545,318","772,383","652,854","1,970,555","42,768","540,259",0,"583,027",0,0,0,0,0,"42,720",0,"42,720","2,596,302"
Ashanti Region,Afigya_Kwabre,Administration (Assembly Office),"545,318","772,383","652,854","1,970,555","42,768","540,259",0,"583,027",0,0,0,0,0,"42,720",0,"42,720","2,596,302"
Ashanti Region,Afigya_Kwabre,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,"Education, Youth and Sports",0,"730,753","517,000","1,247,753",0,0,"70,000","70,000",0,0,0,0,0,0,"300,000","300,000","1,617,753"
Ashanti Region,Afigya_Kwabre,Office of Departmental Head,0,"5,000",0,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,"5,000"
Ashanti Region,Afigya_Kwabre,Education,0,"717,753","517,000","1,234,753",0,0,"70,000","70,000",0,0,0,0,0,0,"300,000","300,000","1,604,753"
Ashanti Region,Afigya_Kwabre,Sports,0,"8,000",0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
Ashanti Region,Afigya_Kwabre,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Health,"136,274","319,000","100,000","555,274",0,"4,000",0,"4,000",0,0,0,0,0,0,0,0,"559,274"
Ashanti Region,Afigya_Kwabre,Office of District Medical Officer of Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Environmental Health Unit,"136,274","312,000",0,"448,274",0,"1,000",0,"1,000",0,0,0,0,0,0,0,0,"449,274"
Ashanti Region,Afigya_Kwabre,Hospital services,0,"7,000","100,000","107,000",0,"3,000",0,"3,000",0,0,0,0,0,0,0,0,"110,000"
Ashanti Region,Afigya_Kwabre,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Agriculture,"319,673","44,046",0,"363,720",0,0,0,0,0,0,0,0,0,"24,304",0,"24,304","388,024"
Ashanti Region,Afigya_Kwabre,,"319,673","44,046",0,"363,720",0,0,0,0,0,0,0,0,0,"24,304",0,"24,304","388,024"
Ashanti Region,Afigya_Kwabre,Physical Planning,0,"2,904",162,"3,066",0,0,0,0,0,0,0,0,0,0,0,0,"3,066"
Ashanti Region,Afigya_Kwabre,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Town and Country Planning,0,"2,904",162,"3,066",0,0,0,0,0,0,0,0,0,0,0,0,"3,066"
Ashanti Region,Afigya_Kwabre,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Social Welfare & Community Development,"161,593","72,234",0,"233,827",0,0,0,0,0,0,0,0,0,0,0,0,"237,744"
Ashanti Region,Afigya_Kwabre,Office of Departmental Head,"161,593",0,0,"161,593",0,0,0,0,0,0,0,0,0,0,0,0,"161,593"
Ashanti Region,Afigya_Kwabre,Social Welfare,0,"65,421",0,"65,421",0,0,0,0,0,0,0,0,0,0,0,0,"67,291"
Ashanti Region,Afigya_Kwabre,Community Development,0,"6,813",0,"6,813",0,0,0,0,0,0,0,0,0,0,0,0,"8,860"
Ashanti Region,Afigya_Kwabre,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Works,"84,102","133,323","16,528","233,954",0,"4,500",0,"4,500",0,0,0,0,0,"123,000","10,658","133,658","372,112"
Ashanti Region,Afigya_Kwabre,Office of Departmental Head,"84,102",0,0,"84,102",0,"4,500",0,"4,500",0,0,0,0,0,0,0,0,"88,602"
Ashanti Region,Afigya_Kwabre,Public Works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Water,0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
Ashanti Region,Afigya_Kwabre,Feeder Roads,0,"113,323","16,528","129,851",0,0,0,0,0,0,0,0,0,"123,000","10,658","133,658","263,509"
Ashanti Region,Afigya_Kwabre,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,"Trade, Industry and Tourism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Disaster Prevention,0,"43,000",0,"43,000",0,0,0,0,0,0,0,0,0,0,0,0,"43,000"
Ashanti Region,Afigya_Kwabre,,0,"43,000",0,"43,000",0,0,0,0,0,0,0,0,0,0,0,0,"43,000"
Ashanti Region,Afigya_Kwabre,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Afigya_Kwabre,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Multi Sectoral,"1,381,599","971,026","1,384,135","3,736,761",0,"466,971","37,258","504,229",0,"36,000",0,0,0,"1,031,590","528,944","1,560,534","5,837,524"
Ashanti Region,Ahafo_Ano_North,Ahafo Ano North District - Tepa,"1,381,599","971,026","1,384,135","3,736,761",0,"466,971","37,258","504,229",0,"36,000",0,0,0,"1,031,590","528,944","1,560,534","5,837,524"
Ashanti Region,Ahafo_Ano_North,Central Administration,"721,814","508,550","654,738","1,885,102",0,"465,971",0,"465,971",0,0,0,0,0,"35,463","5,500","40,963","2,392,035"
Ashanti Region,Ahafo_Ano_North,Administration (Assembly Office),"721,814","508,550","654,738","1,885,102",0,"465,971",0,"465,971",0,0,0,0,0,"35,463","5,500","40,963","2,392,035"
Ashanti Region,Ahafo_Ano_North,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,"Education, Youth and Sports",0,"25,000","284,263","309,263",0,0,"37,258","37,258",0,"36,000",0,0,0,"407,453","70,000","477,453","859,974"
Ashanti Region,Ahafo_Ano_North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Education,0,"25,000","284,263","309,263",0,0,"37,258","37,258",0,"36,000",0,0,0,"407,453","70,000","477,453","859,974"
Ashanti Region,Ahafo_Ano_North,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Health,"193,655","222,000","71,685","487,340",0,"1,000",0,"1,000",0,0,0,0,0,0,"330,500","330,500","818,840"
Ashanti Region,Ahafo_Ano_North,Office of District Medical Officer of Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Environmental Health Unit,"193,655","212,000",0,"405,655",0,"1,000",0,"1,000",0,0,0,0,0,0,"130,000","130,000","536,655"
Ashanti Region,Ahafo_Ano_North,Hospital services,0,"10,000","71,685","81,685",0,0,0,0,0,0,0,0,0,0,"200,500","200,500","282,185"
Ashanti Region,Ahafo_Ano_North,Waste Management,0,0,"73,426","73,426",0,0,0,0,0,0,0,0,0,0,0,0,"73,426"
Ashanti Region,Ahafo_Ano_North,,0,0,"73,426","73,426",0,0,0,0,0,0,0,0,0,0,0,0,"73,426"
Ashanti Region,Ahafo_Ano_North,Agriculture,"293,242","29,308",0,"322,551",0,0,0,0,0,0,0,0,0,"568,674",0,"568,674","891,225"
Ashanti Region,Ahafo_Ano_North,,"293,242","29,308",0,"322,551",0,0,0,0,0,0,0,0,0,"568,674",0,"568,674","891,225"
Ashanti Region,Ahafo_Ano_North,Physical Planning,"31,261","20,808",162,"52,231",0,0,0,0,0,0,0,0,0,0,0,0,"52,231"
Ashanti Region,Ahafo_Ano_North,Office of Departmental Head,0,"20,808",162,"20,970",0,0,0,0,0,0,0,0,0,0,0,0,"20,970"
Ashanti Region,Ahafo_Ano_North,Town and Country Planning,"31,261",0,0,"31,261",0,0,0,0,0,0,0,0,0,0,0,0,"31,261"
Ashanti Region,Ahafo_Ano_North,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Social Welfare & Community Development,"125,567","81,606","1,355","208,527",0,0,0,0,0,0,0,0,0,"20,000",0,"20,000","228,527"
Ashanti Region,Ahafo_Ano_North,Office of Departmental Head,0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
Ashanti Region,Ahafo_Ano_North,Social Welfare,"21,806","63,429","1,355","86,590",0,0,0,0,0,0,0,0,0,"20,000",0,"20,000","106,590"
Ashanti Region,Ahafo_Ano_North,Community Development,"103,761","8,177",0,"111,938",0,0,0,0,0,0,0,0,0,0,0,0,"111,938"
Ashanti Region,Ahafo_Ano_North,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Works,"16,061","73,755","298,506","388,322",0,0,0,0,0,0,0,0,0,0,"122,944","122,944","511,266"
Ashanti Region,Ahafo_Ano_North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Public Works,"3,372","56,323","128,458","188,153",0,0,0,0,0,0,0,0,0,0,"82,944","82,944","271,097"
Ashanti Region,Ahafo_Ano_North,Water,0,"15,000","157,955","172,955",0,0,0,0,0,0,0,0,0,0,"40,000","40,000","212,955"
Ashanti Region,Ahafo_Ano_North,Feeder Roads,"12,689","2,432","12,093","27,214",0,0,0,0,0,0,0,0,0,0,0,0,"27,214"
Ashanti Region,Ahafo_Ano_North,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,"Trade, Industry and Tourism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
