sch_name,lea_name,year,address,geocodingURL,contact,phone,accredit,sch_core_uq,lea_core_uq,st_core_uq,lea_prov_tch,lea_prov_sped_tch,st_prov_tch,st_prov_sped_tch,sch_bach,sch_mast,sch_phd,lea_bach,lea_mast,lea_phd,st_bach,st_mast,st_phd,sch_prov_tch,sch_prov_sped_tch,eid,street,city,state,country,title1_p,title1_f,combokey,nces_school_id,leaid,schid,sch_address,sch_city,sch_zip,jj,prek,k,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ug,sp_ed,mg_sch,charter_sch,alt_sch,ab_group,mg_sch2,alt_acd_dif,alt_disc_prob,alt_other,gte_program,provide_ap,num_ap_courses,student_ap_choice,m_ame_7_enrol,m_asi_7_enrol,m_his_7_enrol,m_bla_7_enrol,m_whi_7_enrol,m_hi_pac_7_enrol,m_2_or_more_7_enrol,m_tot_7_enrol,m_dis_idea_7_enrol,m_dis_504_7_enrol,m_lep_7_enrol,f_ame_7_enrol,f_asi_7_enrol,f_his_7_enrol,f_bla_7_enrol,f_whi_7_enrol,f_hi_pac_7_enrol,f_2_or_more_7_enrol,f_tot_7_enrol,f_dis_idea_7_enrol,f_dis_504_7_enrol,f_lep_7_enrol,tot_fte,fte_cert,teach_1st_yr,teach_2nd_yr,counsel,tot_enroll,m_perc,f_perc,ame_tot,asi_tot,his_tot,bla_tot,whi_tot,hi_pac_tot,more_tot,dis_504_tot,lep_tot,ame_perc,asi_perc,his_perc,bla_perc,whi_perc,hi_pac_perc,more_perc,dis_504_perc,lep_perc,teach_1st_perc,teach_2nd_perc,title_1,fte_absent,fte_teachers_fin,teach_amount,avg_teach_salary,tot_salaries,inst_salaries,expend,fte_absent_perc,read_3_score,read_4_score,read_5_score,read_6_score,read_7_score,read_8_score,read_11_score,write_5_score,write_8_score,write_11_score,math_3_score,math_4_score,math_5_score,math_6_score,math_7_score,math_8_score,alg_1_score,alg_2_score,geo_score,avg_eng_score,avg_math_score,poor_perc,blk_perc,azn_perc,wht_perc,male_perc,fem_perc,sev_dis_perc,pop5to17,pop5to17lag,pov5to17,pov5to17lag,pov_5to17_perc,pov_5to17_lag_perc,teach_3rd_higher,mastbachratio,perc_cert,logenroll,logfte,ratio,meanpov,cenpov,meanexp,cenexp,meaneduc,ceneduc,meancert,cencert,p25pov,p75pov,p25exp,p75exp,p25educ,p75educ,p25cert,p75cert,expint,educint,certint,yearid,v188
VENABLE ELEM,CHARLOTTESVILLE CITY PBLC SCHS,_12,"406 14th Street NW, Charlottesville, VA 22903-2305",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=406+14th+Street+NW%2C+Charlottesville%2C+VA+22903-2305,Principal: Ms. Erin E. Kershner,(434) 245-2418,Fully Accredited,0,4,1,4,1,5,1,24,76,0,37,59,1,41,56,1,,,513,406 14th Street NW,CHARLOTTESVILLE,VA,USA,0,0,5.101E11,5.101E11,5100780,2143,406 14TH STREET NW,CHARLOTTESVILLE,22903,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,0,5,17,44,83,0,8,157,19,0,8,0,8,8,41,98,0,11,166,10,2,17,28,28,0,2,,323,48.61,51.39,0,13,25,85,181,0,19,2,25,0,4.02,7.74,26.32,56.04,0,5.88,0.62,7.74,0,7.14,0,4,19.1,1072739,56164,1641195,1195569,33212,14.29,503,519,,,,,,,,,436,460,,,,,,,,,,38.82,27.02,5.59,58.7,48.45,51.55,0,4425,4069,1063,929,24.0226,0.2283116,92.86,3.166667,100,5.777652,3.332205,11.53571,15.90492,8.11768,90.38022,2.479782,1.486381,1.680286,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,20.13008,13.64002,21.7181,_12,344
LESLIE H WALTON MIDDLE,ALBEMARLE CO PBLC SCHS,_12,"4217 Red Hill Road, Charlottesville, VA 22903-7922",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=4217+Red+Hill+Road%2C+Charlottesville%2C+VA+22903-7922,Principal: Mrs. Alison Dwier-Selden,(434) 977-5615,Fully Accredited,0,1,1,3,1,5,1,41,59,0,39,59,2,41,56,1,2,2,1790,4217 Red Hill Road,CHARLOTTESVILLE,VA,USA,0,0,5.1E11,5.1E11,5100090,26,4217 RED HILL ROAD,CHARLOTTESVILLE,22903,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,0,5,5,29,152,0,11,202,31,0,2,2,2,8,23,146,2,5,188,25,0,5,29.59,28.59,0,0,,390,51.79,48.21,2,7,13,52,298,2,16,0,7,0.51,1.79,3.33,13.33,76.41,0.51,4.1,0,1.79,0,0,0,0,29.59,1566072,52926,2024550,1595102,129652,0,,,,476,479,491,,,434,,,,,416,411,389,439,,486,468.1622,403.3229,36.22,13.52,0,76.28,52.04,47.96,11.99,15921,15783,1546,1500,9.710445,0.095039,100,1.439024,96.62048,5.966147,3.387436,13.18013,15.90492,-6.194473,90.38022,9.619781,1.486381,-0.0473567,97.32459,-0.7041092,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-59.58948,0.29335,4.361586,_12,99
JACKSON-VIA ELEM,CHARLOTTESVILLE CITY PBLC SCHS,_12,"508 Harris Road, Charlottesville, VA 22903-4322",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=508+Harris+Road%2C+Charlottesville%2C+VA+22903-4322,Principal: Dr. Tracie A. Daniels,(434) 245-2416,Fully Accredited,0,4,1,4,1,5,1,36,59,5,37,59,1,41,56,1,0,5,471,508 Harris Road,CHARLOTTESVILLE,VA,USA,0,0,5.101E11,5.101E11,5100780,276,508 HARRIS ROAD,CHARLOTTESVILLE,22903,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,2,2,32,80,38,0,11,165,34,2,38,2,5,23,74,32,0,14,150,10,0,23,34.5,33.5,3,3,,315,52.38,47.62,4,7,55,154,70,0,25,2,61,1.27,2.22,17.46,48.89,22.22,0,7.94,0.63,19.37,8.7,8.7,1,7,17.1,918918,53738,1436883,1040148,32527,20.29,459,468,,,,,,,,,423,429,,,,,,,,,,74.29,49.52,0,22.86,52.7,47.3,0,4425,4069,1063,929,24.0226,0.2283116,82.6,1.638889,97.10145,5.752573,3.540959,9.130435,15.90492,8.11768,90.38022,-7.78022,1.486381,0.1525077,97.32459,-0.2231445,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-63.15733,1.238008,-1.811416,_12,341
ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,ALBEMARLE CO PBLC SCHS,_12,"901 Rose Hill Drive, Charlottesville, VA 22903",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=901+Rose+Hill+Drive%2C+Charlottesville%2C+VA+22903,Principal: Ms. E. Ashby Kindler,(434) 972-1607,Fully Accredited,10,1,1,3,1,5,1,13,75,13,39,59,2,41,56,1,,,6878,901 Rose Hill Drive,CHARLOTTESVILLE,VA,USA,0,0,5.1E11,5.1E11,5100090,2796,901 ROSE HILL DRIVE,CHARLOTTESVILLE,22903,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,,,,,1,,,,0,0,2,0,17,0,2,21,4,2,2,0,2,2,2,17,0,0,23,4,0,2,5,5,0,0,,44,47.73,52.27,0,2,4,2,34,0,2,2,4,0,4.55,9.09,4.55,77.27,0,4.55,4.55,9.09,0,0,0,0,5,302537,60507,302537,302537,9160,0,,,,486,472,,,,,,,,,457,451,,,,,,,30,0,0,85,50,50,0,15921,15783,1546,1500,9.710445,0.095039,100,5.769231,100,3.78419,1.609438,8.8,15.90492,-6.194473,90.38022,9.619781,1.486381,4.28285,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-59.58948,-26.53,-16.57274,_12,113
JACKSON P BURLEY MIDDLE,ALBEMARLE CO PBLC SCHS,_12,"901 Rose Hill Drive, Charlottesville, VA 22903-5255",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=901+Rose+Hill+Drive%2C+Charlottesville%2C+VA+22903-5255,Principal: Jim Asher,(434) 295-5101,Fully Accredited,1,1,1,3,1,5,1,41,54,0,39,59,2,41,56,1,4,0,1793,901 Rose Hill Drive,CHARLOTTESVILLE,VA,USA,0,0,5.1E11,5.1E11,5100090,24,901 ROSE HILL DRIVE,CHARLOTTESVILLE,22903,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,2,8,38,44,167,0,17,276,49,2,41,2,8,32,44,152,0,20,258,16,2,26,36.17,35.17,1,1,,534,51.69,48.31,4,16,70,88,319,0,37,4,67,0.75,3,13.11,16.48,59.74,0,6.93,0.75,12.55,2.76,2.76,0,0,36.17,1876917,51892,2326849,1919868,166963,0,,,,486,481,492,,,437,,,,,435,439,387,474,,527,470.2782,424.8182,35.96,17.23,3,59.18,52.06,47.94,8.43,15921,15783,1546,1500,9.710445,0.095039,94.48,1.317073,97.23528,6.280396,3.58823,14.76362,15.90492,-6.194473,90.38022,4.099785,1.486381,-0.1693079,97.32459,-0.0893173,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-25.39601,1.048774,0.5532737,_12,97
STONE ROBINSON ELEM,ALBEMARLE CO PBLC SCHS,_12,"958 North Milton Road, Charlottesville, VA 22911-3612",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=958+North+Milton+Road%2C+Charlottesville%2C+VA+22911-3612,Principal: Dr. Nicholas J King,(434) 296-3754,Fully Accredited,0,1,1,3,1,5,1,50,45,3,39,59,2,41,56,1,,,1755,958 North Milton Road,CHARLOTTESVILLE,VA,USA,0,0,5.1E11,5.1E11,5100090,32,958 NORTH MILTON ROAD,CHARLOTTESVILLE,22911,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,0,2,14,32,161,0,14,223,37,0,8,2,5,11,20,158,0,14,210,13,0,5,26.55,25.55,0,0,,433,51.5,48.5,2,7,25,52,319,0,28,0,13,0.46,1.62,5.77,12.01,73.67,0,6.47,0,3,0,0,0,0,26.55,1441720,54302,1934044,1520598,112446,0,464,504,456,,,,,451,,,393,437,417,,,,,,,470.9619,417.5068,28.54,12.3,0,74.01,51.74,48.26,2.55,15921,15783,1546,1500,9.710445,0.095039,100,0.9,96.23352,6.070738,3.27903,16.30885,15.90492,-6.194473,90.38022,9.619781,1.486381,-0.5863812,97.32459,-1.091072,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-59.58948,3.632323,6.758617,_12,104
CHASE CITY ELEM,MECKLENBURG CO PBLC SCHS,_12,"5450 Highway Forty-Seven, Chase City, VA 23924",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=5450+Highway+Forty-Seven%2C+Chase+City%2C+VA+23924,Principal: Mr. Frederick Taylor,(434) 372-4770,Fully Accredited,0,5,1,4,2,5,1,60,40,0,56,41,1,41,56,1,,,1013,5450 Highway Forty-Seven,CHASE CITY,VA,USA,0,0,5.102E11,5.102E11,5102460,1002,5450 HIGHWAY FORTY-SEVEN,CHASE CITY,23924,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,0,2,5,119,98,0,8,232,28,2,0,0,2,2,128,83,0,2,217,10,2,2,35,34,0,0,,449,51.67,48.33,0,4,7,247,181,0,10,4,2,0,0.89,1.56,55.01,40.31,0,2.23,0.89,0.45,0,0,1,14,41,1630533,39769,2143192,1950371,104534,40,469,469,469,,,,,438,,,404,428,435,,,,,,,461.4275,422.7387,72.03,53.74,0,41.19,51.1,48.9,2.42,4685,4753,1205,1235,25.72038,0.2598359,100,0.6666667,97.14286,6.107023,3.555348,12.82857,15.90492,9.815466,90.38022,9.619781,1.486381,-0.8197145,97.32459,-0.1817322,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,94.42264,-8.045879,-1.783786,_12,1182
CHATHAM HIGH,PITTSYLVANIA CO PBLC SCHS,_12,"100 Cavalier Cir, Chatham, VA 24531",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=100+Cavalier+Cir%2C+Chatham%2C+VA+24531,Principal: Mr. Randy T. Foster,(434) 432-8305,Fully Accredited,6,2,1,4,2,5,1,56,44,0,62,36,0,41,56,1,6,2,915,100 Cavalier Cir,CHATHAM,VA,USA,0,0,5.103E11,5.103E11,5102940,1210,100 CAVALIER CIR,CHATHAM,24531,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,,1,1,5,1,2,2,0,92,257,0,0,353,61,0,5,2,0,0,89,206,0,2,299,31,0,5,50,47,3,2,3,652,54.14,45.86,4,2,0,181,463,0,2,0,10,0.61,0.31,0,27.76,71.01,0,0.31,0,1.53,6,4,0,22,43,1665180,38725,2008600,1739988,32669,44,,,,,,,485,,,470,,,,,,,410,399,428,477.4328,415.5647,42.08,27.6,0,69.68,53.7,46.3,10.26,9790,9912,1850,1865,18.89683,0.1881558,90,0.7857143,94,6.480044,3.912023,13.04,15.90492,2.991915,90.38022,-0.3802185,1.486381,-0.7006669,97.32459,-3.324593,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-1.137581,-2.096336,-9.946898,_12,1363
UNION HALL ELEM,PITTSYLVANIA CO PBLC SCHS,_12,"100 Union Hall Cir, Chatham, VA 24531",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=100+Union+Hall+Cir%2C+Chatham%2C+VA+24531,Principal: Mrs. Carolyn M. Harris,(434) 724-7010,Fully Accredited,0,2,1,4,2,5,1,71,29,0,62,36,0,41,56,1,,,867,100 Union Hall Cir,CHATHAM,VA,USA,0,0,5.103E11,5.103E11,5102940,1228,100 UNION HALL CIR,CHATHAM,24531,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,0,0,35,104,0,0,141,28,0,2,2,0,0,29,86,0,2,119,7,0,2,22.5,22.5,2,1,,260,54.23,45.77,4,0,0,64,190,0,2,0,4,1.54,0,0,24.62,73.08,0,0.77,0,1.54,8.89,4.44,1,6,16,627337,39209,763863,649598,11347,26.67,465,497,481,,,,,441,,,429,455,433,,,,,,,467.8844,436.4757,60.66,24.18,0,68.85,54.1,45.9,0,9790,9912,1850,1865,18.89683,0.1881558,86.67,0.4084507,100,5.560682,3.113515,11.55556,15.90492,2.991915,90.38022,-3.71022,1.486381,-1.07793,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-11.10066,-3.225076,8.004591,_12,1375
CHATHAM MIDDLE,PITTSYLVANIA CO PBLC SCHS,_12,"11650 US Highway 29 North, Chatham, VA 24531",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=11650+US+Highway+29+North%2C+Chatham%2C+VA+24531,Principal: Mr. Cedric J. Hairston,(434) 432-2169,Accredited with Warning,1,2,1,4,2,5,1,55,43,0,62,36,0,41,56,1,7,0,910,11650 US Highway 29 North,CHATHAM,VA,USA,0,0,5.103E11,5.103E11,5102940,1208,11650 US HIGHWAY 29 NORTH,CHATHAM,24531,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,2,0,62,200,0,2,268,52,0,5,2,0,0,71,167,0,5,245,31,0,5,44,43,3,0,,513,52.24,47.76,4,2,0,133,367,0,7,0,10,0.78,0.39,0,25.93,71.54,0,1.36,0,1.95,6.82,0,1,3,32,1274113,39816,1583334,1312107,24949,6.82,,,,497,467,470,,,429,,,,,448,,387,417,,,455.496,,50.79,26.68,0,67.59,51.38,48.62,11.27,9790,9912,1850,1865,18.89683,0.1881558,93.18,0.7818182,97.72727,6.240276,3.78419,11.65909,15.90492,2.991915,90.38022,2.799782,1.486381,-0.704563,97.32459,0.4026794,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,8.376708,-2.107992,1.204783,_12,1361
CHATHAM ELEM,PITTSYLVANIA CO PBLC SCHS,_12,"245 Chatham Elementary Lane, Chatham, VA 24531",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=245+Chatham+Elementary+Lane%2C+Chatham%2C+VA+24531,Principal: Mrs. Jenny D. Eaton,(434) 432-6461,Fully Accredited,0,2,1,4,2,5,1,78,22,0,62,36,0,41,56,1,4,4,902,245 Chatham Elementary Lane,CHATHAM,VA,USA,0,0,5.103E11,5.103E11,5102940,1209,245 CHATHAM ELEMENTARY LANE,CHATHAM,24531,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,0,0,0,50,113,0,0,163,49,0,2,0,0,0,41,86,0,0,127,22,0,0,27.5,27.5,0,2,,290,56.21,43.79,0,0,0,91,199,0,0,0,2,0,0,0,31.38,68.62,0,0,0,0.69,0,7.27,1,8,15,633200,42213,681518,633200,13061,29.09,493,459,469,,,,,441,,,416,420,391,,,,,,,463.7113,406.7852,63.8,31.9,0,66.31,55.2,44.8,10.04,9790,9912,1850,1865,18.89683,0.1881558,92.73,0.2820513,100,5.669881,3.314186,10.54545,15.90492,2.991915,90.38022,2.349785,1.486381,-1.20433,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,7.030356,-3.603252,8.004591,_12,1362
CHECK ELEM,FLOYD CO PBLC SCHS,_12,"PO Box 8, Check, VA 24072",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=PO+Box+8%2C+Check%2C+VA+24072,Principal: Mrs. Jessica Cromer,(540) 745-9464,Fully Accredited,0,3,1,0,2,5,1,48,52,0,51,46,0,41,56,1,,,1288,PO Box 8,CHECK,VA,USA,0,0,5.101E11,5.101E11,5101350,617,PO BOX 8,CHECK,24072,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,1,,,,0,0,2,2,152,0,2,158,31,0,0,0,0,2,2,149,0,8,161,13,2,0,21,21,3,0,,319,49.53,50.47,0,0,4,4,301,0,10,2,0,0,0,1.25,1.25,94.36,0,3.13,0.63,0,14.29,0,1,6,21,918218,43725,1565532,1320218,35750,28.57,492,490,501,506,485,,,490,,,448,423,421,460,383,,455,,,493.1124,428.3485,42.59,0,0,94.64,51.42,48.58,4.1,2449,2468,438,463,17.88485,0.1876013,85.71,1.083333,100,5.765191,3.044523,15.19048,15.90492,1.979931,90.38022,-4.670219,1.486381,-0.4030478,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-9.246712,-0.7980068,5.297122,_12,746
BUTTS ROAD PRIMARY,CHESAPEAKE CITY PBLC SCHS,_12,"1000 Mt Pleasant Rd, Chesapeake, VA 23322",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=1000+Mt+Pleasant+Rd%2C+Chesapeake%2C+VA+23322,Principal: Mr. James S. Lewter,(757) 482-5820,Fully Accredited,0,0,1,2,1,5,1,21,74,0,33,63,1,41,56,1,,,1813,1000 Mt Pleasant Rd,CHESAPEAKE,VA,USA,0,0,5.101E11,5.101E11,5100810,281,1000 MT PLEASANT RD,CHESAPEAKE,23322,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,0,11,14,14,269,0,20,328,61,0,2,0,17,14,8,272,2,11,324,40,0,5,30,30,0,0,,652,50.31,49.69,0,28,28,22,541,2,31,0,7,0,4.29,4.29,3.37,82.98,0.31,4.75,0,1.07,0,0,0,8,30,1536641,51221,2193365,2036915,22695,26.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42418,42729,5442,5050,12.82946,0.1181867,100,3.523809,100,6.480044,3.401197,21.73333,15.90492,-3.07546,90.38022,9.619781,1.486381,2.037428,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-29.58526,-6.26603,-8.228109,_12,347
GREENBRIER MIDDLE,CHESAPEAKE CITY PBLC SCHS,_12,"1016 Greenbrier Pkwy, Chesapeake, VA 23320",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=1016+Greenbrier+Pkwy%2C+Chesapeake%2C+VA+23320,Principal: Mr. Michael Mustain,(757) 548-5309,Fully Accredited,0,0,1,2,1,5,1,33,58,3,33,63,1,41,56,1,0,1,2228,1016 Greenbrier Pkwy,CHESAPEAKE,VA,USA,0,0,5.101E11,5.101E11,5100810,2557,1016 GREENBRIER PKWY,CHESAPEAKE,23320,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,8,32,38,146,194,2,44,464,97,5,8,2,26,26,146,200,2,38,440,52,0,5,60,60,2,1,,904,51.33,48.67,10,58,64,292,394,4,82,5,13,1.11,6.42,7.08,32.3,43.58,0.44,9.07,0.55,1.44,3.33,1.67,0,22,60,3739846,61309,4766197,4452695,74490,36.67,,,,503,498,512,,,437,,,,,405,407,430,453,,,481.9193,418.8217,28.17,32.18,6.35,43.99,50.89,49.11,12.91,42418,42729,5442,5050,12.82946,0.1181867,95,1.757576,100,6.806829,4.094345,15.06667,15.90492,-3.07546,90.38022,4.619781,1.486381,0.2711946,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-14.20796,-0.8340482,-8.228109,_12,390
JOLLIFF MIDDLE,CHESAPEAKE CITY PBLC SCHS,_12,"1021 Jolliff Rd., Chesapeake, VA 23321",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=1021+Jolliff+Rd.%2C+Chesapeake%2C+VA+23321,Principal: Quentin E. Hicks,(757) 465-5246,Fully Accredited,0,0,1,2,1,5,1,35,63,2,33,63,1,41,56,1,,,2674,1021 Jolliff Rd.,CHESAPEAKE,VA,USA,0,0,5.101E11,5.101E11,5100810,1954,1021 JOLLIFF RD.,CHESAPEAKE,23321,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,0,2,14,131,182,2,20,351,55,8,2,2,8,17,152,158,0,17,354,28,5,0,51.17,51.17,0,1,,705,49.79,50.21,2,10,31,283,340,2,37,13,2,0.28,1.42,4.4,40.14,48.23,0.28,5.25,1.84,0.28,0,1.95,0,16,51.17,2413428,47165,3259319,3076686,50199,31.27,,,,493,488,499,,,435,,,,,412,412,418,455,,488,474.5061,415.0256,28.21,40.62,1.41,48.1,50.49,49.51,9.59,42418,42729,5442,5050,12.82946,0.1181867,98.05,1.8,100,6.558198,3.935153,13.7776,15.90492,-3.07546,90.38022,7.669785,1.486381,0.3136188,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-23.58812,-0.9645221,-8.228109,_12,384
HICKORY ELEM,CHESAPEAKE CITY PBLC SCHS,_12,"109 Benefit Road, Chesapeake, VA 23322",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=109+Benefit+Road%2C+Chesapeake%2C+VA+23322,Principal: Mrs. Kimberly C. Pinello,(757) 421-7080,Fully Accredited,0,0,1,2,1,5,1,28,69,3,33,63,1,41,56,1,,,20,109 Benefit Road,CHESAPEAKE,VA,USA,0,0,5.101E11,5.101E11,5100810,298,109 BENEFIT ROAD,CHESAPEAKE,23322,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,0,2,17,20,176,2,8,225,58,2,0,0,5,11,11,161,2,11,201,19,2,5,20,20,1,0,,426,52.82,47.18,0,7,28,31,337,4,19,4,5,0,1.64,6.57,7.28,79.11,0.94,4.46,0.94,1.17,5,0,0,9,20,1143850,54469,1689457,1556417,16422,45,479,501,485,,,,,459,,,458,442,445,,,,,,,481.537,448.0722,26.79,6.94,0,79.43,53.35,46.65,6.7,42418,42729,5442,5050,12.82946,0.1181867,95,2.464286,100,6.05444,2.995732,21.3,15.90492,-3.07546,90.38022,4.619781,1.486381,0.9779044,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-14.20796,-3.007506,-8.228109,_12,360
B M WILLIAMS PRIMARY,CHESAPEAKE CITY PBLC SCHS,_12,"1100 Battlefield Blvd N, Chesapeake, VA 23320",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=1100+Battlefield+Blvd+N%2C+Chesapeake%2C+VA+23320,Principal: Mr. Thomas P. Moyer,(757) 547-0238,Accredited with Warning,0,0,1,2,1,5,1,43,56,0,33,63,1,41,56,1,2,0,1800,1100 Battlefield Blvd N,CHESAPEAKE,VA,USA,0,0,5.101E11,5.101E11,5100810,280,1100 BATTLEFIELD BLVD N,CHESAPEAKE,23320,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,2,23,20,197,164,2,41,449,82,2,14,0,26,38,194,176,2,35,471,55,2,17,37,37,0,0,,920,48.8,51.2,2,49,58,391,340,4,76,4,31,0.22,5.33,6.3,42.5,36.96,0.43,8.26,0.43,3.37,0,0,0,10,37,1843929,49836,2746636,2558178,35391,27.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42418,42729,5442,5050,12.82946,0.1181867,100,1.302326,100,6.824374,3.610918,24.86486,15.90492,-3.07546,90.38022,9.619781,1.486381,-0.1840556,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-29.58526,0.5660556,-8.228109,_12,346
