NAME,ADDRESS,CONTACT,NUMBER,LEA,ACCREDIT,TITLE1_P,TITLE1_F,SCH_PERC_COREUQ_13,LEA_PERC_COREUQ_13,ST_PERC_COREUQ_13,SCH_PERC_PROV_13,SCH_PERC_PROVSPED_13,LEA_PERC_PROV_13,LEA_PERC_PROVSPED_13,ST_PERC_PROV_13,ST_PERC_PROVSPED_13,SCH_PERC_BACH_13,SCH_PERC_MAST_13,SCH_PERC_PHD_13,LEA_PERC_BACH_13,LEA_PERC_MAST_13,LEA_PERC_PHD_13,ST_PERC_BACH_13,ST_PERC_MAST_13,ST_PERC_PHD_13,SCH_3_READ_ADV_13,LEA_3_READ_ADV_13,ST_3_READ_ADV_13,SCH_3_READ_PROF_13,LEA_3_READ_PROF_13,ST_3_READ_PROF_13,SCH_3_READ_PASS_13,LEA_3_READ_PASS_13,ST_3_READ_PASS_13,SCH_3_READ_FAIL_13,LEA_3_READ_FAIL_13,ST_3_READ_FAIL_13,SCH_3_MATH_ADV_13,LEA_3_MATH_ADV_13,ST_3_MATH_ADV_13,SCH_3_MATH_PROF_13,LEA_3_MATH_PROF_13,ST_3_MATH_PROF_13,SCH_3_MATH_PASS_13,LEA_3_MATH_PASS_13,ST_3_MATH_PASS_13,SCH_3_MATH_FAIL_13,LEA_3_MATH_FAIL_13,ST_3_MATH_FAIL_13,SCH_4_READ_ADV_13,LEA_4_READ_ADV_13,ST_4_READ_ADV_13,SCH_4_READ_PROF_13,LEA_4_READ_PROF_13,ST_4_READ_PROF_13,SCH_4_READ_PASS_13,LEA_4_READ_PASS_13,ST_4_READ_PASS_13,SCH_4_READ_FAIL_13,LEA_4_READ_FAIL_13,ST_4_READ_FAIL_13,SCH_4_MATH_ADV_13,LEA_4_MATH_ADV_13,ST_4_MATH_ADV_13,SCH_4_MATH_PROF_13,LEA_4_MATH_PROF_13,ST_4_MATH_PROF_13,SCH_4_MATH_PASS_13,LEA_4_MATH_PASS_13,ST_4_MATH_PASS_13,SCH_4_MATH_FAIL_13,LEA_4_MATH_FAIL_13,ST_4_MATH_FAIL_13,SCH_5_READ_ADV_13,LEA_5_READ_ADV_13,ST_5_READ_ADV_13,SCH_5_READ_PROF_13,LEA_5_READ_PROF_13,ST_5_READ_PROF_13,SCH_5_READ_PASS_13,LEA_5_READ_PASS_13,ST_5_READ_PASS_13,SCH_5_READ_FAIL_13,LEA_5_READ_FAIL_13,ST_5_READ_FAIL_13,SCH_5_READ_ADV_13,LEA_5_READ_ADV_13,ST_5_READ_ADV_13,SCH_5_READ_PROF_13,LEA_5_READ_PROF_13,ST_5_READ_PROF_13,SCH_5_READ_PASS_13,LEA_5_READ_PASS_13,ST_5_READ_PASS_13,SCH_5_READ_FAIL_13,LEA_5_READ_FAIL_13,ST_5_READ_FAIL_13,SCH_5_MATH_ADV_13,LEA_5_MATH_ADV_13,ST_5_MATH_ADV_13,SCH_5_MATH_PROF_13,LEA_5_MATH_PROF_13,ST_5_MATH_PROF_13,SCH_5_MATH_PASS_13,LEA_5_MATH_PASS_13,ST_5_MATH_PASS_13,SCH_5_MATH_FAIL_13,LEA_5_MATH_FAIL_13,ST_5_MATH_FAIL_13,SCH_8_READ_ADV_13,LEA_8_READ_ADV_13,ST_8_READ_ADV_13,SCH_8_READ_PROF_13,LEA_8_READ_PROF_13,ST_8_READ_PROF_13,SCH_8_READ_PASS_13,LEA_8_READ_PASS_13,ST_8_READ_PASS_13,SCH_8_READ_FAIL_13,LEA_8_READ_FAIL_13,ST_8_READ_FAIL_13,SCH_8_MATH_ADV_13,LEA_8_MATH_ADV_13,ST_8_MATH_ADV_13,SCH_8_MATH_PROF_13,LEA_8_MATH_PROF_13,ST_8_MATH_PROF_13,SCH_8_MATH_PASS_13,LEA_8_MATH_PASS_13,ST_8_MATH_PASS_13,SCH_8_MATH_FAIL_13,LEA_8_MATH_FAIL_13,ST_8_MATH_FAIL_13,SCH_HS_READ_ADV_13,LEA_HS_READ_ADV_13,ST_HS_READ_ADV_13,SCH_HS_READ_PROF_13,LEA_HS_READ_PROF_13,ST_HS_READ_PROF_13,SCH_HS_READ_PASS_13,LEA_HS_READ_PASS_13,ST_HS_READ_PASS_13,SCH_HS_READ_FAIL_13,LEA_HS_READ_FAIL_13,ST_HS_READ_FAIL_13,SCH_HS_MATH_ADV_13,LEA_HS_MATH_ADV_13,ST_HS_MATH_ADV_13,SCH_HS_MATH_PROF_13,LEA_HS_MATH_PROF_13,ST_HS_MATH_PROF_13,SCH_HS_MATH_PASS_13,LEA_HS_MATH_PASS_13,ST_HS_MATH_PASS_13,SCH_HS_MATH_FAIL_13,LEA_HS_MATH_FAIL_13,ST_HS_MATH_FAIL_13,SCH_HS_ALG1_ADV_13,LEA_HS_ALG1_ADV_13,ST_HS_ALG1_ADV_13,SCH_HS_ALG1_PROF_13,LEA_HS_ALG1_PROF_13,ST_HS_ALG1_PROF_13,SCH_HS_ALG1_PASS_13,LEA_HS_ALG1_PASS_13,ST_HS_ALG1_PASS_13,SCH_HS_ALG1_FAIL_13,LEA_HS_ALG1_FAIL_13,ST_HS_ALG1_FAIL_13,SCH_HS_GEOM_ADV_13,LEA_HS_GEOM_ADV_13,ST_HS_GEOM_ADV_13,SCH_HS_GEOM_PROF_13,LEA_HS_GEOM_PROF_13,ST_HS_GEOM_PROF_13,SCH_HS_GEOM_PASS_13,LEA_HS_GEOM_PASS_13,ST_HS_GEOM_PASS_13,SCH_HS_GEOM_FAIL_13,LEA_HS_GEOM_FAIL_13,ST_HS_GEOM_FAIL_13,SCH_HS_ALG2_ADV_13,LEA_HS_ALG2_ADV_13,ST_HS_ALG2_ADV_13,SCH_HS_ALG2_PROF_13,LEA_HS_ALG2_PROF_13,ST_HS_ALG2_PROF_13,SCH_HS_ALG2_PASS_13,LEA_HS_ALG2_PASS_13,ST_HS_ALG2_PASS_13,SCH_HS_ALG2_FAIL_13,LEA_HS_ALG2_FAIL_13,ST_HS_ALG2_FAIL_13,SCH_6_READ_ADV_13,LEA_6_READ_ADV_13,ST_6_READ_ADV_13,SCH_6_READ_PROF_13,LEA_6_READ_PROF_13,ST_6_READ_PROF_13,SCH_6_READ_PASS_13,LEA_6_READ_PASS_13,ST_6_READ_PASS_13,SCH_6_READ_FAIL_13,LEA_6_READ_FAIL_13,ST_6_READ_FAIL_13,SCH_6_MATH_ADV_13,LEA_6_MATH_ADV_13,ST_6_MATH_ADV_13,SCH_6_MATH_PROF_13,LEA_6_MATH_PROF_13,ST_6_MATH_PROF_13,SCH_6_MATH_PASS_13,LEA_6_MATH_PASS_13,ST_6_MATH_PASS_13,SCH_6_MATH_FAIL_13,LEA_6_MATH_FAIL_13,ST_6_MATH_FAIL_13,SCH_7_READ_ADV_13,LEA_7_READ_ADV_13,ST_7_READ_ADV_13,SCH_7_READ_PROF_13,LEA_7_READ_PROF_13,ST_7_READ_PROF_13,SCH_7_READ_PASS_13,LEA_7_READ_PASS_13,ST_7_READ_PASS_13,SCH_7_READ_FAIL_13,LEA_7_READ_FAIL_13,ST_7_READ_FAIL_13,SCH_7_MATH_ADV_13,LEA_7_MATH_ADV_13,ST_7_MATH_ADV_13,SCH_7_MATH_PROF_13,LEA_7_MATH_PROF_13,ST_7_MATH_PROF_13,SCH_7_MATH_PASS_13,LEA_7_MATH_PASS_13,ST_7_MATH_PASS_13,SCH_7_MATH_FAIL_13,LEA_7_MATH_FAIL_13,ST_7_MATH_FAIL_13,
Northwood Middle,"156 Long Hollow Rd, Saltville, VA 24370",Principal: Mr. Tim Duncan,(276) 624-3341,Smyth County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,2,6,1,,,5,1,5,1,92,8,0,58,39,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,11,60,57,59,63,62,70,37,38,30,0,1,9,48,54,58,48,55,67,52,45,33,,,,,,,,,,,,,,,,,,,,,,,,,0,1,8,100,67,71,100,68,79,0,32,21,,,,,,,,,,,,,,,,,,,,,,,,,5,12,15,54,55,58,59,67,73,41,33,27,7,14,13,62,63,62,68,77,76,32,23,24,11,15,17,65,60,58,76,75,76,24,25,24,2,7,14,23,51,51,25,58,65,75,42,35,671
Northwood High,"PO Box Y, Saltville, VA 24370",Principal: Mr. Marcus Stanley Dunham III,(276) 496-7751,Smyth County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,14,6,1,3,0,5,1,5,1,56,44,0,58,39,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,10,91,85,80,95,88,90,5,12,10,,,,,,,,,,,,,0,1,8,67,67,71,67,68,79,33,32,21,0,3,12,79,69,65,79,72,77,21,28,23,8,20,20,61,64,62,69,84,82,31,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672
Atkins Elementary,"5903 Lee Hwy, Atkins, VA 24311",Principal: Mr. Gary L. Roberts,(276) 783-3366,Smyth County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,6,1,4,0,5,1,5,1,58,42,0,58,39,0,42,56,1,5,12,16,63,58,53,68,70,69,33,30,31,7,13,16,66,49,51,73,62,67,27,38,33,8,16,18,73,62,52,81,78,70,19,22,30,24,29,26,49,51,54,73,80,80,27,20,20,9,15,21,76,59,53,85,75,73,15,25,27,22,16,23,53,51,48,75,68,71,25,32,29,19,18,24,59,50,49,78,68,73,22,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673
Chilhowie High,"PO Box 2280, Chilhowie, VA 24319",Principal: Mr. Michael L. Sturgill,(276) 646-8966,Smyth County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,1,6,1,5,3,5,1,5,1,58,35,5,58,39,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,10,88,85,80,91,88,90,9,12,10,,,,,,,,,,,,,0,1,8,76,67,71,76,68,79,24,32,21,3,3,12,75,69,65,78,72,77,22,28,23,14,20,20,62,64,62,77,84,82,23,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674
Marion Middle,"134 Wilden St, Marion, VA 24354",Principal: Mr. Damon Mazoff,(276) 783-4466,Smyth County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,5,6,1,4,0,5,1,5,1,62,36,0,58,39,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,11,54,57,59,61,62,70,39,38,30,2,1,9,53,54,58,55,55,67,45,45,33,,,,,,,,,,,,,,,,,,,,,,,,,4,1,8,90,67,71,94,68,79,6,32,21,18,3,12,77,69,65,95,72,77,5,28,23,,,,,,,,,,,,,18,12,15,52,55,58,70,67,73,30,33,27,17,14,13,59,63,62,76,77,76,24,23,24,15,15,17,58,60,58,73,75,76,27,25,24,8,7,14,54,51,51,62,58,65,38,42,35,676
Oak Point Elementary,"138 OAK POINT DR, Marion, VA 24354",Principal: Mr. Gary Foulke,(276) 783-2609,Smyth County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,6,1,2,0,5,1,5,1,56,44,0,58,39,0,42,56,1,8,12,16,64,58,53,72,70,69,28,30,31,22,13,16,45,49,51,67,62,67,33,38,33,16,16,18,62,62,52,78,78,70,22,22,30,20,29,26,51,51,54,71,80,80,29,20,20,22,15,21,58,59,53,80,75,73,20,25,27,18,16,23,60,51,48,78,68,71,22,32,29,21,18,24,45,50,49,66,68,73,34,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677
Marion Senior High,"242 Teas Rd, Sugar Grove, VA 24375",Principal: Mr. Mike Davidson,(276) 783-4731,Smyth County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,12,6,1,8,0,5,1,5,1,65,32,0,58,39,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,10,82,85,80,84,88,90,16,12,10,<,<,54,<,<,15,<,<,69,<,<,31,0,1,8,43,67,71,43,68,79,57,32,21,0,3,12,58,69,65,58,72,77,42,28,23,29,20,20,66,64,62,96,84,82,4,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678
Marion Elementary,"188 Star Mountain Dr, Marion, VA 24354",Principal: Ms. Kimberly G. Williams,(276) 783-3021,Smyth County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,6,1,3,0,5,1,5,1,37,63,0,58,39,0,42,56,1,15,12,16,65,58,53,80,70,69,20,30,31,14,13,16,48,49,51,63,62,67,38,38,33,27,16,18,65,62,52,92,78,70,8,22,30,47,29,26,44,51,54,90,80,80,10,20,20,18,15,21,60,59,53,78,75,73,22,25,27,16,16,23,57,51,48,72,68,71,28,32,29,22,18,24,54,50,49,76,68,73,24,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679
Rich Valley Elementary,"196 Long Hollow Rd, Saltville, VA 24370",Principal: Ms. Tamela W. Hahn,(276) 624-3314,Smyth County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,6,1,,,5,1,5,1,57,43,0,58,39,0,42,56,1,31,12,16,46,58,53,77,70,69,23,30,31,15,13,16,62,49,51,77,62,67,23,38,33,29,16,18,54,62,52,83,78,70,17,22,30,38,29,26,54,51,54,92,80,80,8,20,20,14,15,21,72,59,53,86,75,73,14,25,27,21,16,23,38,51,48,59,68,71,41,32,29,17,18,24,66,50,49,83,68,73,17,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680
Chilhowie Elementary,"P O Box 348, Chilhowie, VA 24319",Principal: Mr. Sanders Henderson,(276) 646-8220,Smyth County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,6,1,2,0,5,1,5,1,58,42,0,58,39,0,42,56,1,13,12,16,52,58,53,65,70,69,35,30,31,13,13,16,45,49,51,58,62,67,42,38,33,12,16,18,66,62,52,77,78,70,23,22,30,30,29,26,55,51,54,85,80,80,15,20,20,16,15,21,52,59,53,68,75,73,32,25,27,12,16,23,47,51,48,59,68,71,41,32,29,13,18,24,50,50,49,63,68,73,37,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681
Saltville Elementary,"PO Box C, Saltville, VA 24370",Principal: Ms. Brenda M. Boone,(276) 496-4751,Smyth County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,6,1,,,5,1,5,1,50,50,0,58,39,0,42,56,1,5,12,16,58,58,53,63,70,69,37,30,31,5,13,16,49,49,51,54,62,67,46,38,33,9,16,18,50,62,52,59,78,70,41,22,30,21,29,26,51,51,54,72,80,80,28,20,20,6,15,21,69,59,53,75,75,73,25,25,27,21,16,23,52,51,48,73,68,71,27,32,29,23,18,24,48,50,49,71,68,73,29,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682
Southampton High,"23350 Southampton Pkwy, Courtland, VA 23837",Principal: Mrs. Allene Atkinson,(757) 653-2751,Southampton County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,7,4,1,12,0,7,0,5,1,55,42,2,57,41,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,6,11,<,48,59,<,54,70,<,46,30,<,11,9,<,58,58,<,69,67,<,31,33,4,4,10,89,88,80,93,92,90,7,8,10,<,<,54,<,<,15,<,<,69,<,<,31,0,3,8,98,95,71,98,98,79,2,2,21,3,4,12,89,88,65,92,92,77,8,8,23,12,12,20,62,61,62,74,73,82,26,27,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684
Southampton Middle,"23450 Southampton Pkwy, Courtland, VA 23837",Principal: Mr. Darian Bell,(757) 653-9250,Southampton County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,4,1,7,2,7,0,5,1,61,39,0,57,41,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,11,51,48,59,58,54,70,42,46,30,11,11,9,61,58,58,73,69,67,27,31,33,,,,,,,,,,,,,,,,,,,,,,,,,8,3,8,92,95,71,100,98,79,0,2,21,5,4,12,87,88,65,92,92,77,8,8,23,,,,,,,,,,,,,9,9,15,63,62,58,72,71,73,28,29,27,6,6,13,55,55,62,61,61,76,39,39,24,14,14,17,52,52,58,66,66,76,34,34,24,3,3,14,44,44,51,47,46,65,53,54,35,685
Capron Elementary,"PO Box 164, Capron, VA 23829",Principal: Mrs. Allison Francis,(434) 658-4348,Southampton County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,11,4,1,14,0,7,0,5,1,74,22,4,57,41,1,42,56,1,4,12,16,61,52,53,64,64,69,36,36,31,21,16,16,61,54,51,82,70,67,18,30,33,4,15,18,52,44,52,57,59,70,43,41,30,9,19,26,74,69,54,83,89,80,17,11,20,17,11,21,57,52,53,74,63,73,26,37,27,30,16,23,35,46,48,65,62,71,35,38,29,9,17,24,70,56,49,78,73,73,22,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686
Riverdale Elementary," 31023 Camp Parkway, Courtland, VA 23837",Principal: Miss Debra Hicks,(757) 562-3007,Southampton County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,4,4,1,2,0,7,0,5,1,48,50,0,57,41,1,42,56,1,9,12,16,52,52,53,61,64,69,39,36,31,9,16,16,49,54,51,58,70,67,42,30,33,15,15,18,35,44,52,51,59,70,49,41,30,21,19,26,71,69,54,92,89,80,8,11,20,8,11,21,50,52,53,58,63,73,42,37,27,15,16,23,48,46,48,63,62,71,37,38,29,19,17,24,49,56,49,68,73,73,32,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690
Strasburg High,"250 Ram Drive, Strasburg, VA 22657",Principal: Mr. Kenneth Knesh,(540) 465-5195,Shenandoah County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,7,2,1,6,0,4,1,5,1,52,48,0,49,49,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,10,87,84,80,90,90,90,10,10,10,<,<,54,<,<,15,<,<,69,<,<,31,0,9,8,53,74,71,53,83,79,47,17,21,3,7,12,71,72,65,75,79,77,25,21,23,13,27,20,75,66,62,87,93,82,13,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691
Rye Cove Intermediate,"158 Memorial School Lane, Clinchport, VA 24244",Principal: Mr. Timothy Spicer,(276) 940-2322,Scott County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,4,2,1,,,3,1,5,1,79,21,0,66,31,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,21,48,52,53,61,72,73,39,28,27,13,16,23,47,45,48,60,60,71,40,40,29,5,21,24,43,46,49,48,67,73,52,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,15,70,64,58,83,82,73,17,18,27,25,22,13,62,67,62,87,89,76,13,11,24,15,17,17,53,61,58,68,78,76,32,22,24,10,15,14,39,52,51,48,67,65,52,33,35,693
Dungannon Intermediate,"113 Fifth Avenue, Dungannon, VA 24245",Principal: Ms. Jennifer Meade,(276) 467-2281,Scott County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,,,3,1,5,1,44,56,0,66,31,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,0,9,18,63,62,52,63,72,70,37,28,30,5,18,26,58,66,54,63,84,80,37,16,20,8,20,21,62,52,53,69,72,73,31,28,27,7,16,23,50,45,48,57,60,71,43,40,29,0,21,24,54,46,49,54,67,73,46,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,15,64,64,58,82,82,73,18,18,27,9,22,13,82,67,62,91,89,76,9,11,24,20,17,17,50,61,58,70,78,76,30,22,24,0,15,14,73,52,51,73,67,65,27,33,35,694
Fort Blackmore Primary,"214 Big Stoney Creek Road, Fort Blackmore, VA 24250",Principal: Mrs. Jennifer Meade,(276) 995-2471,Scott County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,,,3,1,5,1,63,25,0,66,31,0,42,56,1,27,11,16,73,62,53,100,72,69,0,28,31,33,12,16,67,54,51,100,67,67,0,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695
Nickelsville Elementary,"11415 Nickelsville Hwy., Nickelsville, VA 24271",Principal: Dr. Travis Nickels,(276) 479-2676,Scott County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,,,3,1,5,1,83,17,0,66,31,0,42,56,1,6,11,16,66,62,53,72,72,69,28,28,31,6,12,16,66,54,51,72,67,67,28,33,33,11,9,18,71,62,52,82,72,70,18,28,30,32,18,26,55,66,54,87,84,80,13,16,20,32,20,21,54,52,53,86,72,73,14,28,27,18,16,23,54,45,48,71,60,71,29,40,29,34,21,24,52,46,49,86,67,73,14,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,18,15,65,64,58,77,82,73,23,18,27,8,22,13,72,67,62,80,89,76,20,11,24,12,17,17,62,61,58,73,78,76,27,22,24,12,15,14,48,52,51,60,67,65,40,33,35,696
Rye Cove High,"164 Eagles Nest Lane, Duffield, VA 24244",Principal: Mr. Reagan Mullins,(276) 940-2701,Scott County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,,,3,1,5,1,45,55,0,66,31,0,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,11,63,60,59,69,68,70,31,32,30,18,14,9,52,61,58,70,75,67,30,25,33,2,11,10,81,83,80,82,93,90,18,7,10,<,<,54,<,<,15,<,<,69,<,<,31,2,8,8,70,77,71,72,85,79,28,15,21,2,6,12,92,85,65,94,91,77,6,9,23,<,0,20,<,68,62,<,68,82,<,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697
Shoemaker Elementary,"218 Shoemaker Dr, Gate City, VA 24251",Principal: Ms. Renee Dishner,(276) 386-7002,Scott County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,,,3,1,5,1,73,27,0,66,31,0,42,56,1,14,11,16,62,62,53,77,72,69,23,28,31,12,12,16,63,54,51,75,67,67,25,33,33,4,9,18,58,62,52,61,72,70,39,28,30,5,18,26,81,66,54,86,84,80,14,16,20,20,20,21,46,52,53,66,72,73,34,28,27,13,16,23,31,45,48,44,60,71,56,40,29,18,21,24,49,46,49,67,67,73,33,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,18,15,64,64,58,86,82,73,14,18,27,33,22,13,64,67,62,97,89,76,3,11,24,,,,,,,,,,,,,,,,,,,,,,,,,698
Hilton Elementary,"303 Academy Rd., Hiltons, VA 24258",Principal: Mrs. Kelsey K. Taylor,(276) 386-7430,Scott County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,0,2,1,,,3,1,5,1,79,21,0,66,31,0,42,56,1,14,11,16,55,62,53,68,72,69,32,28,31,14,12,16,50,54,51,64,67,67,36,33,33,18,9,18,64,62,52,82,72,70,18,28,30,5,18,26,62,66,54,67,84,80,33,16,20,0,20,21,79,52,53,79,72,73,21,28,27,0,16,23,29,45,48,29,60,71,71,40,29,0,21,24,36,46,49,36,67,73,64,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,18,15,55,64,58,80,82,73,20,18,27,5,22,13,65,67,62,70,89,76,30,11,24,,,,,,,,,,,,,,,,,,,,,,,,,699
