DISTRICT/MUNI,ITEM,Releases
KABALE M.C.,6024-Urban Uncon," 181,184 "
LIRA M.C.,6024-Urban Uncon," 177,854 "
MASAKA M.C.,6024-Urban Uncon," 194,050 "
MBALE M.C.,6024-Urban Uncon," 170,935 "
MBARARA M.C.,6024-Urban Uncon," 129,201 "
MOROTO M.C.,6024-Urban Uncon," 28,335 "
SOROTI M.C.,6024-Urban Uncon," 56,119 "
TORORO M.C.,6024-Urban Uncon," 217,806 "
,,
 ARUA ,6026-Referral Hospt,0
 GULU ,6026-Referral Hospt,0
 HOIMA ,6026-Referral Hospt,0
 JINJA ,6026-Referral Hospt,0
 KABALE ,6026-Referral Hospt,0
 KABAROLE ,6026-Referral Hospt,0
 MASAKA ,6026-Referral Hospt,0
 MBALE ,6026-Referral Hospt,0
 MBARARA ,6026-Referral Hospt,0
 SOROTI ,6026-Referral Hospt,0
,,
 ADJUMANI ,6027-Sec capitation," 38,386 "
 APAC ,6027-Sec capitation," 161,897 "
 ARUA ,6027-Sec capitation," 276,829 "
 BUGIRI ,6027-Sec capitation," 76,457 "
 BUNDIBUGYO ,6027-Sec capitation," 72,517 "
 BUSHENYI ,6027-Sec capitation," 250,443 "
 BUSIA ,6027-Sec capitation," 92,351 "
 GULU ,6027-Sec capitation," 145,371 "
 HOIMA ,6027-Sec capitation," 112,704 "
 IGANGA ,6027-Sec capitation," 243,081 "
 JINJA ,6027-Sec capitation," 234,211 "
 KABALE ,6027-Sec capitation," 237,948 "
 KABAROLE ,6027-Sec capitation," 157,551 "
 KABERAMAIDO ,6027-Sec capitation," 26,904 "
 KALANGALA ,6027-Sec capitation," 2,657 "
 KAMPALA ,6027-Sec capitation," 636,735 "
 KAMULI ,6027-Sec capitation," 188,553 "
 KAMWENGE ,6027-Sec capitation," 39,061 "
 KANUNGU ,6027-Sec capitation," 35,459 "
 KAPCHORWA ,6027-Sec capitation," 113,559 "
 KASESE ,6027-Sec capitation," 125,447 "
 KATAKWI ,6027-Sec capitation," 30,776 "
 KAYUNGA ,6027-Sec capitation," 66,686 "
 KIBALE ,6027-Sec capitation," 98,655 "
 KIBOGA ,6027-Sec capitation," 39,894 "
 KISORO ,6027-Sec capitation," 50,521 "
 KITGUM ,6027-Sec capitation," 87,646 "
 KOTIDO ,6027-Sec capitation," 30,776 "
 KUMI ,6027-Sec capitation," 66,821 "
 KYENJOJO ,6027-Sec capitation," 49,058 "
 LIRA ,6027-Sec capitation," 238,398 "
 LUWERO ,6027-Sec capitation," 119,436 "
 MASAKA ,6027-Sec capitation," 220,860 "
 MASINDI ,6027-Sec capitation," 132,066 "
 MAYUGE ,6027-Sec capitation," 18,867 "
 MBALE ,6027-Sec capitation," 358,172 "
 MBARARA ,6027-Sec capitation," 317,579 "
 MOROTO ,6027-Sec capitation," 24,067 "
 MOYO ,6027-Sec capitation," 7,542 "
 MPIGI ,6027-Sec capitation," 533,689 "
 MUBENDE ,6027-Sec capitation," 161,262 "
 MUKONO ,6027-Sec capitation," 316,189 "
 NAKAPIRIPIRIT ,6027-Sec capitation," 6,642 "
 NAKASONGOLA ,6027-Sec capitation," 38,769 "
 NEBBI ,6027-Sec capitation," 56,555 "
 NTUNGAMO ,6027-Sec capitation," 122,835 "
 PADER ,6027-Sec capitation," 37,238 "
 PALLISA ,6027-Sec capitation," 169,529 "
 RAKAI ,6027-Sec capitation," 119,931 "
 RUKUNGIRI ,6027-Sec capitation," 160,388 "
 SEMBABULE ,6027-Sec capitation," 21,005 "
 SIRONKO ,6027-Sec capitation," 68,464 "
 SOROTI ,6027-Sec capitation," 120,629 "
 TORORO ,6027-Sec capitation," 269,760 "
 WAKISO ,6027-Sec capitation," 133,462 "
 YUMBE ,6027-Sec capitation," 21,501 "
ARUA M.C.,,
ENTEBBE M.C.,,
FORT PORTAL M.C.,,
GULU M.C.,,
JINJA M.C.,,
KABALE M.C.,,
LIRA M.C.,,
MASAKA M.C.,,
MBALE M.C.,,
MBARARA M.C.,,
MOROTO M.C.,,
SOROTI M.C.,,
TORORO M.C.,,
,,
 ADJUMANI ,6028-Dist Hospitals," 207,947 "
 APAC ,6028-Dist Hospitals," 199,254 "
 ARUA ,6028-Dist Hospitals,0
 BUGIRI ,6028-Dist Hospitals," 230,073 "
 BUNDIBUGYO ,6028-Dist Hospitals," 215,164 "
 BUSHENYI ,6028-Dist Hospitals," 257,135 "
 GULU ,6028-Dist Hospitals," 207,947 "
 IGANGA ,6028-Dist Hospitals," 207,947 "
 KANUNGU ,," 207,947 "
 KAPCHORWA ,6028-Dist Hospitals," 207,947 "
 KASESE ,6028-Dist Hospitals," 215,492 "
 KAYUNGA ,," 199,254 "
 KIBALE ,6028-Dist Hospitals," 199,254 "
 KIBOGA ,6028-Dist Hospitals," 230,073 "
 KISORO ,6028-Dist Hospitals," 361,303 "
 KITGUM ,6028-Dist Hospitals," 199,254 "
 KOTIDO ,6028-Dist Hospitals," 189,904 "
 KUMI ,6028-Dist Hospitals," 465,410 "
 LIRA ,6028-Dist Hospitals," 505,817 "
 LUWERO ,6028-Dist Hospitals," 207,947 "
 MASINDI ,6028-Dist Hospitals," 415,893 "
 MBALE ,6028-Dist Hospitals," 199,254 "
 MBARARA ,6028-Dist Hospitals," 303,033 "
 MOROTO ,6028-Dist Hospitals," 241,773 "
 MOYO ,6028-Dist Hospitals," 421,800 "
 MPIGI ,6028-Dist Hospitals," 199,254 "
 MUBENDE ,6028-Dist Hospitals," 207,947 "
 MUKONO ,6028-Dist Hospitals," 210,900 "
 NEBBI ,6028-Dist Hospitals, -   
NTUNGAMO,,
 PALLISA ,6028-Dist Hospitals," 199,254 "
 RAKAI ,6028-Dist Hospitals," 199,254 "
 RUKUNGIRI ,6028-Dist Hospitals," 199,254 "
 TORORO ,6028-Dist Hospitals," 620,983 "
 WAKISO ,," 314,870 "
 YUMBE ,," 207,947 "
,,
 ADJUMANI ,6029-Agric Extension," 29,333 "
 APAC ,6029-Agric Extension," 79,693 "
 ARUA ,6029-Agric Extension," 55,342 "
 BUGIRI ,6029-Agric Extension," 52,815 "
 BUNDIBUGYO ,6029-Agric Extension," 32,469 "
 BUSHENYI ,6029-Agric Extension," 65,681 "
 BUSIA ,6029-Agric Extension," 17,660 "
 GULU ,6029-Agric Extension," 84,329 "
 HOIMA ,6029-Agric Extension," 48,736 "
 IGANGA ,6029-Agric Extension," 48,635 "
 JINJA ,6029-Agric Extension," 39,307 "
 KABALE ,6029-Agric Extension," 34,142 "
 KABAROLE ,6029-Agric Extension," 27,152 "
 KABERAMAIDO ,6029-Agric Extension," 67,990 "
 KALANGALA ,6029-Agric Extension," 36,565 "
 KAMPALA ,6029-Agric Extension," 17,476 "
 KAMULI ,6029-Agric Extension," 79,177 "
 KAMWENGE ,6029-Agric Extension," 38,483 "
 KANUNGU ,6029-Agric Extension," 29,414 "
 KAPCHORWA ,6029-Agric Extension," 8,560 "
 KASESE ,6029-Agric Extension," 56,509 "
 KATAKWI ,6029-Agric Extension," 50,386 "
 KAYUNGA ,6029-Agric Extension," 39,716 "
 KIBALE ,6029-Agric Extension," 21,143 "
 KIBOGA ,6029-Agric Extension," 33,048 "
 KISORO ,6029-Agric Extension," 36,274 "
 KITGUM ,6029-Agric Extension," 28,014 "
 KOTIDO ,6029-Agric Extension," 74,355 "
 KUMI ,6029-Agric Extension," 52,057 "
 KYENJOJO ,6029-Agric Extension," 47,527 "
 LIRA ,6029-Agric Extension," 62,833 "
 LUWERO ,6029-Agric Extension," 40,229 "
 MASAKA ,6029-Agric Extension," 95,406 "
 MASINDI ,6029-Agric Extension," 68,881 "
 MAYUGE ,6029-Agric Extension," 45,954 "
 MBALE ,6029-Agric Extension," 71,299 "
 MBARARA ,6029-Agric Extension," 95,982 "
 MOROTO ,6029-Agric Extension," 52,979 "
 MOYO ,6029-Agric Extension," 26,451 "
 MPIGI ,6029-Agric Extension," 73,537 "
 MUBENDE ,6029-Agric Extension," 74,625 "
 MUKONO ,6029-Agric Extension," 60,801 "
 NAKAPIRIPIRIT ,6029-Agric Extension," 52,979 "
 NAKASONGOLA ,6029-Agric Extension," 31,816 "
 NEBBI ,6029-Agric Extension," 61,912 "
 NTUNGAMO ,6029-Agric Extension," 41,811 "
 PADER ,6029-Agric Extension," 55,658 "
 PALLISA ,6029-Agric Extension," 56,288 "
 RAKAI ,6029-Agric Extension," 62,274 "
 RUKUNGIRI ,6029-Agric Extension," 67,097 "
 SEMBABULE ,6029-Agric Extension," 23,677 "
 SIRONKO ,6029-Agric Extension," 37,347 "
