"id","reference","in_ddh"
"uganda-secondary-stu-teach-ratio-gov",FALSE,TRUE
"uganda-tb-success",FALSE,TRUE
"uganda-theme",TRUE,TRUE
"uganda-total-pop",FALSE,TRUE
"uganda-urban-pop",FALSE,TRUE
"uganda-urban-rural-pop",FALSE,TRUE
"uganda-wash-perf-score",FALSE,TRUE
"uganda-water-source-comm-func",FALSE,TRUE
"under-5-mortality",FALSE,FALSE
"university-college-enrolment",FALSE,FALSE
"youth-literacy",FALSE,FALSE
"youth-unemployment",FALSE,FALSE
