standardId,surveyYear,surveyCountry,surveyTitle,respondentGender,respondentBirthYear,qg_40,qg_41,qg_42,qg_43_ag_310,qg_43_ag_311,qg_43_ag_312,qg_43_ag_313,qg_43_ag_314,qg_43_ag_315,qg_43_ag_316,qg_45,qg_46,qg_47,qg_48,qg_49,qg_69,qg_70,qg_71,qg_72,qg_73,qg_74,qg_75,qg_76,qg_77,qg_78,qg_79,qg_80,qg_81,qg_84,qg_85
20629,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,,,Syria will not comply with the agreement,No,No,Further economic sanctions against the Syrian government,,,,,,,No,Yes,About the right amount,Decrease the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25632,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization and congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,No,Too much,Have no impact on the national security of the United States,Don't know,,,,,,,,,,,,,,,
25784,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,"Yes, with UN authorization and congressional approval",Don't know,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,No,No,Too much,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25382,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,,,,,,"Other: (specify)|Further negotiations without threat of violence, which is illegal under international law",,Yes,No,Too much,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
11461,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization and congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,,,,Other: (specify)|Action against Russian banks to pressure Russia to stop supplying Assad with weapons,,No,No,Too much,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
22379,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization and congressional approval",No,,Supplying additional arms to opposition forces in Syria,,,,,,No,Yes,About the right amount,Don't know,Civil war,,,,,,,,,,,,,,,
22240,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,Syria will not comply with the agreement,"Yes, with UN authorization and congressional approval",No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,Don't know,About the right amount,Decrease the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25601,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,55-64,"Syria will comply by June 30, 2014",No,No,,,,,,"Other: (specify)|diplomacy, negotiations, involving Iran, Iraq, Lebanon, Turkey plus UNSC",,No,No,Too much,Enhance the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
11579,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",Don't know,No,Further economic sanctions against the Syrian government,,,,,,,Yes,No,Too much,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
23036,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization and congressional approval",No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,No,Don't know,Too much,Don't know,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
24960,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,Yes,Too much,Enhance the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
10619,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24417,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will comply by June 30, 2014","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,,,,,,,Yes,No,Too much,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
11464,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, regardless of UN or congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,No,Too much,Enhance the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
11020,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,Further economic sanctions against the Syrian government,,,,,,,Don't know,No,Too much,Don't know,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
23171,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,35-44,Syria will not comply with the agreement,"Yes, regardless of UN or congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,,Air strikes against Syrian government forces,,,,No,No,Too much,Have no impact on the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
23699,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,,,,,,Yes,Yes,About the right amount,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25009,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,Further economic sanctions against the Syrian government,,,,,,,Don't know,No,Too much,Have no impact on the national security of the United States,Don't know,,,,,,,,,,,,,,,
20731,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,Don't know,Too much,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
25391,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,45-54,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",Don't know,No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,Don't know,About the right amount,Have no impact on the national security of the United States,Don't know,,,,,,,,,,,,,,,
12362,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,35-44,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,,,,,,Other: (specify)|Compliance can not be unlinked from the ongoing civil war.,,No,No,Too much,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
11078,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,45-54,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization and congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,,,,,Yes,Don't know,Too much,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
23102,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,55-64,Syria will not comply with the agreement,"Yes, regardless of UN or congressional approval",No,,,,,Intervention with ground forces,,,No,No,About the right amount,Decrease the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
11494,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,45-54,Syria will not comply with the agreement,No,No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,,,,,Yes,No,Too much,Decrease the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
21884,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,"Yes, with congressional approval",No,,,,,,"Other: (specify)|Air strikes against military installations, ammunition depots, missile batteries, and facilities connected to the WMD program.",,Yes,Don't know,Too little,Decrease the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25423,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21908,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25785,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25242,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,55-64,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,,,,,No,No,Too much,Have no impact on the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
10424,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,"Yes, with UN authorization and congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,Intervention with ground forces,,,Yes,Don't know,Too much,Have no impact on the national security of the United States,Civil war,,,,,,,,,,,,,,,
25593,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,55-64,Syria will not comply with the agreement,No,No,Further economic sanctions against the Syrian government,,,,,,,Yes,No,Too much,Have no impact on the national security of the United States,Don't know,,,,,,,,,,,,,,,
22532,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Don't know,No,No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,Don't know,About the right amount,Enhance the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25088,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,65 and up,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, regardless of UN or congressional approval",Yes,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,No,Don't know,About the right amount,Have no impact on the national security of the United States,Don't know,,,,,,,,,,,,,,,
23087,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,"Yes, regardless of UN or congressional approval",No,,,,Air strikes against Syrian government forces,,,,Yes,No,Too much,Decrease the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
20164,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,No,Too much,Enhance the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
20261,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,Syria will not comply with the agreement,No,No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Don't know,Don't know,Too much,Don't know,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
21948,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization and congressional approval",No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,No,Too little,Decrease the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25235,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,55-64,"Syria will comply by June 30, 2014",No,No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,No,Too much,Enhance the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
21976,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,Other: (specify)|additional capacity building efforts,,No,No,About the right amount,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
24858,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will comply by June 30, 2014","Yes, with UN authorization and congressional approval",No,,,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,Don't know,Too much,Don't know,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
24780,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will comply by June 30, 2014",No,No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,,,,,Yes,No,About the right amount,Have no impact on the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
25669,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,Yes,About the right amount,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
20820,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,Yes,About the right amount,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
20979,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization and congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,,,,,,Yes,Yes,Too much,Enhance the national security of the United States,Don't know,,,,,,,,,,,,,,,
20218,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Don't know,No,No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,,,,,,Yes,Don't know,Too little,Decrease the national security of the United States,Don't know,,,,,,,,,,,,,,,
25942,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,No,Too much,Have no impact on the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
24904,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,,,,,,"Other: (specify)|If they fail to comply, the reason is very likely to be the practical difficulties of doing so in a war zone. Give them more time. ",,Don't know,Don't know,Too much,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
25638,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22317,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, regardless of UN or congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,Don't know,About the right amount,Decrease the national security of the United States,Partition into two states,,,,,,,,,,,,,,,
10926,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,"Yes, with UN authorization and congressional approval",No,,,Establishment of no-fly zones,,,,,Yes,No,Too much,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
SP1632,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,"Yes, with UN authorization and congressional approval",No,,,Establishment of no-fly zones,,,,,Yes,No,Too much,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
25603,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,45-54,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, regardless of UN or congressional approval",No,,,,Air strikes against Syrian government forces,,,,Yes,No,Too much,Have no impact on the national security of the United States,Stable government representing pro-Russian groups (unified Ukraine),,,,,,,,,,,,,,,
11455,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,,,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,No,No,About the right amount,Have no impact on the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
12154,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,No,No,Further economic sanctions against the Syrian government,,,,,,,Yes,No,Too little,Decrease the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
22331,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,,,,,,Other: (specify)|Continue on the path of a negotiated settlement and play a more active mediating role in ending the Syrian conflict. ,,No,Don't know,Too much,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
22381,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26049,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25548,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,45-54,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,,,,,Yes,No,Too much,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
21896,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,Syria will not comply with the agreement,No,No,,,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,No,Don't know,Have no impact on the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
21697,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,,,,,,"Other: (specify)|Why are all the above options punitive and do not include diplomacy? And why do they all presume that the US alone should take unilateral action? Why is there a presumption that a unilateral action that the US may take, e.g., supplying arms to the ""opposition forces"" (including al-Qaeda-affiliated groups) is a legitimate oiption? The agreement is between the US and Russia. Couldn't one make the same presumptions about possible Russian unilateral options of its own if it so desired? But that's not the point. Shouldn't there be an option allowing for third parties (other than the UN, which has shown itself to be inutile when it came to adhering to its ""no-fly zone"" resolutions being interpreted by the US and NATO as meaning ""regime change"" as in the case of Libya?",,No,,,,Other: (specify),,,,,,,,,,,,,,,
22068,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25078,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,"Yes, with congressional approval",No,Further economic sanctions against the Syrian government,,,Air strikes against Syrian government forces,,,,Yes,No,Too little,Decrease the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25762,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,Further economic sanctions against the Syrian government,,,,,,,Yes,No,About the right amount,Decrease the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
10534,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,"Yes, with UN authorization",No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,Air strikes against Syrian government forces,Intervention with ground forces,,,Yes,No,Too much,Have no impact on the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
21417,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization and congressional approval",No,,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,No,Too much,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25243,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,45-54,"Syria will comply by June 30, 2014","Yes, with congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,"Other: (specify)|Air strikes against pre-announced targets to minimize casualties, to include Assad's houses, office, other symbols of his power, and any air or chemical weapons assets used against the opposition. ",,Yes,No,Too much,Have no impact on the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
26007,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization and congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,,,,Yes,No,Too much,Have no impact on the national security of the United States,Stable government representing pro-Western groups (unified Ukraine),,,,,,,,,,,,,,,
25537,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,,Syria will not comply with the agreement,"Yes, with congressional approval",No,Further economic sanctions against the Syrian government,Supplying additional arms to opposition forces in Syria,Establishment of no-fly zones,Air strikes against Syrian government forces,Intervention with ground forces,,,No,Yes,Too little,Decrease the national security of the United States,Partition into two states,,,,,,,,,,,,,,,
25326,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement",No,No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Don't know,Don't know,Too much,Have no impact on the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25149,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,f,45-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20782,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,65 and up,Syria will not comply with the agreement,No,No,Further economic sanctions against the Syrian government,,,,,,,Don't know,No,Too much,Have no impact on the national security of the United States,Don't know,,,,,,,,,,,,,,,
24119,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,55-64,Syria will not comply with the agreement,No,No,Further economic sanctions against the Syrian government,,,,,,,No,No,Too much,Decrease the national security of the United States,Violent conflict and/or protests short of civil war,,,,,,,,,,,,,,,
25100,2014,US,TRIP Snap Poll: 9 Questions on Current Global Issues,m,55-64,"Syria will not comply by June 30, 2014, but it ultimately will comply with the agreement","Yes, with UN authorization",No,Further economic sanctions against the Syrian government,,Establishment of no-fly zones,,,,,Yes,Don't know,Too much,Enhance the national security of the United States,Other: (specify),,,,,,,,,,,,,,,
