District,Government,Value,Revenue Type,year,Vote,Revenue Source
Abim District,District Government,"237,114",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 573,District Unconditional Grant - Non Wage
Abim District,District Government,"125,194",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 573,Transfer of Urban Unconditional Grant - Wage
Abim District,District Government,"125,194",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 573,Transfer of Urban Unconditional Grant - Wage
Abim District,District Government,"946,759",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 573,Transfer of District Unconditional Grant - Wage
Abim District,District Government,"946,759",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 573,Transfer of District Unconditional Grant - Wage
Abim District,District Government,"22,923",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 573,Urban Equalisation Grant 
Abim District,District Government,"22,923",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 573,Urban Equalisation Grant 
Abim District,District Government,"88,393",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 573,Urban Unconditional Grant - Non Wage
Abim District,District Government,"88,393",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 573,Urban Unconditional Grant - Non Wage
Abim District,District Government,"162,512",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Transfers for Non Wage Technical Institutes
Abim District,District Government,"162,512",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Transfers for Non Wage Technical Institutes
Abim District,District Government,"739,807",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional transfer for Rural Water 
Abim District,District Government,"739,807",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional transfer for Rural Water 
Abim District,District Government,"370,085",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to PHC - development
Abim District,District Government,"370,085",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to PHC - development
Abim District,District Government,"3,520,509",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to Primary Salaries
Abim District,District Government,"3,520,509",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to Primary Salaries
Abim District,District Government,"272,274",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to Tertiary Salaries
Abim District,District Government,"272,274",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to Tertiary Salaries
Abim District,District Government,"385,173",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to SFG
Abim District,District Government,"385,173",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to SFG
Abim District,District Government,"486,792",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to Secondary Salaries
Abim District,District Government,"486,792",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to Secondary Salaries
Abim District,District Government,"470,627",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to Secondary Education
Abim District,District Government,"470,627",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to Secondary Education
Abim District,District Government,"5,771",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to Women Youth and Disability Grant
Abim District,District Government,"5,771",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to Women Youth and Disability Grant
Abim District,District Government,"209,670",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to Primary Education
Abim District,District Government,"209,670",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to Primary Education
Abim District,District Government,"90,040",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to PHC- Non wage
Abim District,District Government,"90,040",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to PHC- Non wage
Abim District,District Government,"57,109",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to PAF monitoring
Abim District,District Government,"57,109",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to PAF monitoring
Abim District,District Government,"119,867",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to NGO Hospitals
Abim District,District Government,"119,867",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to NGO Hospitals
Abim District,District Government,"6,327",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to Functional Adult Lit
Abim District,District Government,"6,327",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to Functional Adult Lit
Abim District,District Government,"24,523",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to DSC Chairs’ Salaries
Abim District,District Government,"24,523",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to DSC Chairs’ Salaries
Abim District,District Government,"51,206",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to District Natural Res. - Wetlands (Non Wage)
Abim District,District Government,"51,206",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to District Natural Res. - Wetlands (Non Wage)
Abim District,District Government,"137,577",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to District Hospitals
Abim District,District Government,"137,577",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to District Hospitals
Abim District,District Government,"1,603",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to Community Devt Assistants Non Wage
Abim District,District Government,"1,603",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to Community Devt Assistants Non Wage
Abim District,District Government,"13,304",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to Agric. Ext Salaries
Abim District,District Government,"13,304",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to Agric. Ext Salaries
Abim District,District Government,"133,979",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant for NAADS
Abim District,District Government,"133,979",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant for NAADS
Abim District,District Government,"1,938,193",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional Grant to PHC Salaries
Abim District,District Government,"1,938,193",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional Grant to PHC Salaries
Abim District,District Government,"131,799",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional transfers to Production and Marketing
Abim District,District Government,"131,799",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional transfers to Production and Marketing
Abim District,District Government,"22,000",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Sanitation and Hygiene
Abim District,District Government,"22,000",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Sanitation and Hygiene
Abim District,District Government,"15,413",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional transfers to School Inspection Grant
Abim District,District Government,"15,413",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional transfers to School Inspection Grant
Abim District,District Government,"12,049",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional transfers to Special Grant for PWDs
Abim District,District Government,"12,049",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional transfers to Special Grant for PWDs
Abim District,District Government,"98,345",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,NAADS (Districts) - Wage
Abim District,District Government,"98,345",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,NAADS (Districts) - Wage
Abim District,District Government,"220,344",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Roads Rehabilitation Grant
Abim District,District Government,"220,344",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Roads Rehabilitation Grant
Abim District,District Government,"54,385",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional transfers to Councillors allowances and Ex- Gratia for LLGs
Abim District,District Government,"54,385",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional transfers to Councillors allowances and Ex- Gratia for LLGs
Abim District,District Government,"19,442",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 573,Conditional transfers to DSC Operational Costs
Abim District,District Government,"19,442",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 573,Conditional transfers to DSC Operational Costs
Abim District,District Government,,2c. Other Government Transfers,2014/15 Approved Budget,Vote: 573,Unspent balances - Other Government Transfers
Abim District,District Government,,2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 573,Unspent balances - Other Government Transfers
Abim District,District Government,"126,127",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 573,Uganda Roads Funds - Urban
Abim District,District Government,"126,127",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 573,Uganda Roads Funds - Urban
Abim District,District Government,"363,012",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 573,Uganda Roads Funds - District
Abim District,District Government,"363,012",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 573,Uganda Roads Funds - District
Abim District,District Government,"2,037,793",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 573,NUSAF II
Abim District,District Government,,2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 573,NUSAF II
Abim District,District Government,,2c. Other Government Transfers,2014/15 Approved Budget,Vote: 573,Unspent balances - Conditional Grants
Abim District,District Government,,2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 573,Unspent balances - Conditional Grants
Abim District,District Government,"660,083",3. Local Development Grant,2014/15 Approved Budget,Vote: 573,LGMSD (Former LGDP)
Abim District,District Government,"660,083",3. Local Development Grant,2015/16 Proposed Budget,Vote: 573,LGMSD (Former LGDP)
Abim District,District Government,"352,513",4. Donor Funding,2014/15 Approved Budget,Vote: 573,UBOS-CENSUS
Abim District,District Government,,4. Donor Funding,2015/16 Proposed Budget,Vote: 573,UBOS-CENSUS
Abim District,District Government,"500,000",4. Donor Funding,2014/15 Approved Budget,Vote: 573,SUSTAIN
Abim District,District Government,"500,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 573,SUSTAIN
Abim District,District Government,,4. Donor Funding,2014/15 Approved Budget,Vote: 573,Research Triangle
Abim District,District Government,,4. Donor Funding,2015/16 Proposed Budget,Vote: 573,Research Triangle
Abim District,District Government,"400,000",4. Donor Funding,2014/15 Approved Budget,Vote: 573,WHO
Abim District,District Government,"400,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 573,WHO
Abim District,District Government,"40,000",4. Donor Funding,2014/15 Approved Budget,Vote: 573,SIGHT SAVERS
Abim District,District Government,"40,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 573,SIGHT SAVERS
Abim District,District Government,,4. Donor Funding,2014/15 Approved Budget,Vote: 573,MONITORING EDUC. ENROLMENT
Abim District,District Government,,4. Donor Funding,2015/16 Proposed Budget,Vote: 573,MONITORING EDUC. ENROLMENT
Abim District,District Government,"245,000",4. Donor Funding,2014/15 Approved Budget,Vote: 573,MOH
Abim District,District Government,"245,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 573,MOH
Abim District,District Government,"1,296,732",4. Donor Funding,2014/15 Approved Budget,Vote: 573,UNICEF
Abim District,District Government,"1,296,732",4. Donor Funding,2015/16 Proposed Budget,Vote: 573,UNICEF
Abim District,District Government,"125,463",4. Donor Funding,2014/15 Approved Budget,Vote: 573,LED
Abim District,District Government,"125,463",4. Donor Funding,2015/16 Proposed Budget,Vote: 573,LED
Abim District,District Government,,4. Donor Funding,2014/15 Approved Budget,Vote: 573,YOUTH LIVELIHOOD FUND
Abim District,District Government,,4. Donor Funding,2015/16 Proposed Budget,Vote: 573,YOUTH LIVELIHOOD FUND
Abim District,District Government,,4. Donor Funding,2014/15 Approved Budget,Vote: 573,Unspent balances - donor
Abim District,District Government,,4. Donor Funding,2015/16 Proposed Budget,Vote: 573,Unspent balances - donor
Abim District,District Government,"50,000",4. Donor Funding,2014/15 Approved Budget,Vote: 573,GLOBAL FUND
Abim District,District Government,"50,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 573,GLOBAL FUND
Abim District,District Government,,4. Donor Funding,2014/15 Approved Budget,Vote: 573,UNFPA/POPSEC
Abim District,District Government,"22,560",4. Donor Funding,2015/16 Proposed Budget,Vote: 573,UNFPA/POPSEC
Adjumani District,District Government,28,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Liquor licences
Adjumani District,District Government,28,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Liquor licences
Adjumani District,District Government,"20,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Advance Recoveries
Adjumani District,District Government,"20,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Advance Recoveries
Adjumani District,District Government,427,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Inspection Fees
Adjumani District,District Government,427,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Inspection Fees
Adjumani District,District Government,"4,860",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Land Fees
Adjumani District,District Government,"4,860",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Land Fees
Adjumani District,District Government,"30,672",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Local Service Tax
Adjumani District,District Government,"30,672",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Local Service Tax
Adjumani District,District Government,"17,224",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Market/Gate Charges
Adjumani District,District Government,"17,224",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Market/Gate Charges
Adjumani District,District Government,"53,965",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Miscellaneous
Adjumani District,District Government,"53,965",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Miscellaneous
Adjumani District,District Government,350,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Other Court Fees
Adjumani District,District Government,350,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Other Court Fees
Adjumani District,District Government,"76,686",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Other Fees and Charges
Adjumani District,District Government,"76,686",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Other Fees and Charges
Adjumani District,District Government,"2,325",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Other licences
Adjumani District,District Government,"2,325",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Other licences
Adjumani District,District Government,"1,638",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Park Fees
Adjumani District,District Government,"1,638",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Park Fees
Adjumani District,District Government,684,1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Public Health Licences
Adjumani District,District Government,684,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Public Health Licences
Adjumani District,District Government,"74,651",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Rent & Rates from other Gov't Units
Adjumani District,District Government,"74,651",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Rent & Rates from other Gov't Units
Adjumani District,District Government,"6,850",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Royalties
Adjumani District,District Government,"6,850",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Royalties
Adjumani District,District Government,"64,092",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Sale of non-produced government Properties/assets
Adjumani District,District Government,"64,092",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Sale of non-produced government Properties/assets
Adjumani District,District Government,"2,763",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Animal & Crop Husbandry related levies
Adjumani District,District Government,"2,763",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Animal & Crop Husbandry related levies
Adjumani District,District Government,"6,223",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Business licences
Adjumani District,District Government,"6,223",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Business licences
Adjumani District,District Government,"23,707",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 501,Application Fees
Adjumani District,District Government,"23,707",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 501,Application Fees
Adjumani District,District Government,"618,375",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 501,District Unconditional Grant - Non Wage
Adjumani District,District Government,"618,375",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 501,District Unconditional Grant - Non Wage
Adjumani District,District Government,"122,941",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 501,District Equalisation Grant
Adjumani District,District Government,"122,941",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 501,District Equalisation Grant
Adjumani District,District Government,"132,050",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 501,Urban Unconditional Grant - Non Wage
Adjumani District,District Government,"132,050",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 501,Urban Unconditional Grant - Non Wage
Adjumani District,District Government,"1,429,454",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 501,Hard to reach allowances
Adjumani District,District Government,"1,429,454",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 501,Hard to reach allowances
Adjumani District,District Government,"125,194",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 501,Transfer of Urban Unconditional Grant - Wage
Adjumani District,District Government,"125,194",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 501,Transfer of Urban Unconditional Grant - Wage
Adjumani District,District Government,"1,347,581",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 501,Transfer of District Unconditional Grant - Wage
Adjumani District,District Government,"1,347,581",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 501,Transfer of District Unconditional Grant - Wage
Adjumani District,District Government,"52,200",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional transfers to Councillors allowances and Ex- Gratia for LLGs
Adjumani District,District Government,"52,200",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional transfers to Councillors allowances and Ex- Gratia for LLGs
Adjumani District,District Government,"535,701",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional transfer for Rural Water 
Adjumani District,District Government,"535,701",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional transfer for Rural Water 
Adjumani District,District Government,"13,102",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to Women Youth and Disability Grant
Adjumani District,District Government,"13,102",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to Women Youth and Disability Grant
Adjumani District,District Government,"427,398",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to SFG
Adjumani District,District Government,"427,398",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to SFG
Adjumani District,District Government,"886,759",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to Secondary Salaries
Adjumani District,District Government,"886,759",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to Secondary Salaries
Adjumani District,District Government,"417,160",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to Secondary Education
Adjumani District,District Government,"417,160",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to Secondary Education
Adjumani District,District Government,"4,377,393",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to Primary Salaries
Adjumani District,District Government,"4,377,393",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to Primary Salaries
Adjumani District,District Government,"27,353",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional transfers to Special Grant for PWDs
Adjumani District,District Government,"27,353",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional transfers to Special Grant for PWDs
Adjumani District,District Government,"3,325,058",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to PHC Salaries
Adjumani District,District Government,"3,325,058",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to PHC Salaries
Adjumani District,District Government,"159,858",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to PHC- Non wage
Adjumani District,District Government,"159,858",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to PHC- Non wage
Adjumani District,District Government,"376,529",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to PHC - development
Adjumani District,District Government,"376,529",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to PHC - development
Adjumani District,District Government,"76,521",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to PAF monitoring
Adjumani District,District Government,"76,521",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to PAF monitoring
Adjumani District,District Government,"148,283",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to NGO Hospitals
Adjumani District,District Government,"148,283",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to NGO Hospitals
Adjumani District,District Government,"30,000",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to IFMS Running Costs
Adjumani District,District Government,"30,000",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to IFMS Running Costs
Adjumani District,District Government,"14,363",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to Functional Adult Lit
Adjumani District,District Government,"14,363",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to Functional Adult Lit
Adjumani District,District Government,"24,523",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to DSC Chairs’ Salaries
Adjumani District,District Government,"24,523",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 501,Conditional Grant to DSC Chairs’ Salaries
Adjumani District,District Government,"47,093",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 501,Conditional Grant to District Natural Res. - Wetlands (Non Wage)
