,Budget Type,Department,Economic Function,Ministry,Non-wage,Non-wage Est,Output,Programme,Sector,Total,Total Est,Vote,Wage,Wage Est
96,,,223005  Electricity,,"4,800",0,,,,"4,800",0,,0,0
97,,,223006  Water,,"3,600",0,,,,"3,600",0,,0,0
98,,,227001  Travel Inland,,"2,000","5,685",,,,"2,000","5,685",,0,0
99,,,,,,,,Programme  12 Manifesto Implementation Unit,,,,,,
100,,,,,,,Output:160103 Monitoring Implementation of Manifesto Commitments,,,,,,,
101,,,211101  General Staff Salaries,,0,0,,,,"53,673","53,673",,"53,673","53,673"
102,,,211103  Allowances,,"4,752","14,752",,,,"4,752","14,752",,0,0
103,,,221001  Advertising and Public Relations,,"4,283","4,283",,,,"4,283","4,283",,0,0
104,,,"221007  Books, Periodicals and Newspapers",,864,671,,,,864,671,,0,0
105,,,221008  Computer Supplies and IT Services,,"1,640","1,640",,,,"1,640","1,640",,0,0
106,,,221009  Welfare and Entertainment,,"3,600","3,600",,,,"3,600","3,600",,0,0
107,,,"221011  Printing, Stationery, Photocopying and ",,"8,306","7,442",,,,"8,306","7,442",,0,0
108,,,227001  Travel Inland,,"74,901","64,901",,,,"74,901","64,901",,0,0
109,,,"227004  Fuel, Lubricants and Oils",,"16,000","13,965",,,,"16,000","13,965",,0,0
110,,,228002  Maintenance - Vehicles,,"27,512","29,689",,,,"27,512","29,689",,0,0
111,,,,,,,,,,,Total,,,
112,,,,,,,,,,"1,205,292",,,,
113,,,,,,,,,,"1,205,292",,,,
114,,Vote Function 1602 Cabinet Support and Policy Development,,,,,,,,,,,,
115,Recurrent Budget Estimates,,,,,,,,,,,,,
116,,,,,,,,Programme  07 Cabinet Secretariat,,,,,,
117,,,,,,,Output:160201 Cabinet meetings supported,,,,,,,
118,,,211101  General Staff Salaries,,0,0,,,,"293,386","293,378",,"293,386","293,378"
119,,,211103  Allowances,,"193,708","214,000",,,,"193,708","214,000",,0,0
120,,,213001  Medical Expenses(To Employees),,"2,220","2,220",,,,"2,220","2,220",,0,0
121,,,"221007  Books, Periodicals and Newspapers",,"36,000","24,713",,,,"36,000","24,713",,0,0
122,,,221008  Computer Supplies and IT Services,,"36,000","16,000",,,,"36,000","16,000",,0,0
123,,,221009  Welfare and Entertainment,,"162,718","168,000",,,,"162,718","168,000",,0,0
124,,,"221011  Printing, Stationery, Photocopying and ",,"84,000","81,082",,,,"84,000","81,082",,0,0
125,,,221012  Small Office Equipment,,"40,760","4,400",,,,"40,760","4,400",,0,0
126,,,222001  Telecommunications,,"36,000","36,000",,,,"36,000","36,000",,0,0
127,,,,,,,,,Public Administration Sector ,,,,,
128,,,,,,,,,,,,Vote:001,,
129,,,,Office of the President,,,,,,,,,,
130,,Vote Function 1602 Cabinet Support and Policy Development,,,,,,,,,,,,
131,,,,,,,,Programme  07 Cabinet Secretariat,,,,,,
132,,,222003  Information and Communications Tech,,"13,200","11,270",,,,"13,200","11,270",,0,0
133,,,223001  Property Expenses,,"25,900","2,000",,,,"25,900","2,000",,0,0
134,,,223004  Guard and Security services,,"1,800","1,800",,,,"1,800","1,800",,0,0
135,,,227001  Travel Inland,,"181,312","231,883",,,,"181,312","231,883",,0,0
136,,,"227004  Fuel, Lubricants and Oils",,"360,000","360,000",,,,"360,000","360,000",,0,0
137,,,228002  Maintenance - Vehicles,,"128,298","132,798",,,,"128,298","132,798",,0,0
138,,,,,,,Output:160203 Capacityfor policy formulation strengthened,,,,,,,
139,,,211101  General Staff Salaries,,0,0,,,,"41,000","41,009",,"41,000","41,009"
140,,,211103  Allowances,,"174,475","181,282",,,,"174,475","181,282",,0,0
141,,,221002  Workshops and Seminars,,"416,000","273,596",,,,"416,000","273,596",,0,0
142,,,221003  Staff Training,,"59,374","59,991",,,,"59,374","59,991",,0,0
143,,,227001  Travel Inland,,"122,500","106,500",,,,"122,500","106,500",,0,0
144,,,227002  Travel Abroad,,"110,000","200,000",,,,"110,000","200,000",,0,0
145,,,,,,,,,,,Total,,,
146,,,,,,,,,,"2,518,652",,,,
147,,,,,,,,,,"2,518,652",,,,
148,,"Vote Function 1603 Government Mobilisation, Media and Awards",,,,,,,,,,,,
149,Recurrent Budget Estimates,,,,,,,,,,,,,
150,,,,,,,,"Programme  01B Headquarters (Mobilisation, Media and RDCs)",,,,,,
151,,,,,,,Output:160351 Government Communications,,,,,,,
152,,,263207  Treasury transfers to Ministries(capital),,"550,455",0,,,,"550,455",0,,0,0
153,,,,,,,Output:160352 Mobilisation and Implementation Monitoring,,,,,,,
154,,,263104  Transfers to other gov't units(current),,"26,246,943","5,687,279",,,,"26,246,943","5,687,279",,0,0
155,,,264101  Contributions to Autonomous Inst.,,"1,000,009","1,000,000",,,,"1,000,009","1,000,000",,0,0
156,,,264102  Contributions to Autonomous Inst. Wa,,"23,280","23,280",,,,"23,280","23,280",,0,0
157,,,,,,,Output:160354 Political Coordination,,,,,,,
158,,,,,,,,,,,"60,000",,,
159,,,,,,,,,Public Administration Sector ,,,,,
160,,,,,,,,,,,,Vote:001,,
161,,,,Office of the President,,,,,,,,,,
162,,"Vote Function 1603 Government Mobilisation, Media and Awards",,,,,,,,,,,,
163,,,,,,,,"Programme  01B Headquarters (Mobilisation, Media and RDCs)",,,,,,
164,,,,,,,,Programme  13 Presidential Awards Committee,,,,,,
165,,,,,,,Output:160301 National Honours & Awards conferred,,,,,,,
166,,,211101  General Staff Salaries,,0,0,,,,"61,000","61,000",,"61,000","61,000"
167,,,211103  Allowances,,"48,752","48,752",,,,"48,752","48,752",,0,0
168,,,221002  Workshops and Seminars,,"30,300","30,300",,,,"30,300","30,300",,0,0
169,,,221003  Staff Training,,"14,000","14,000",,,,"14,000","14,000",,0,0
170,,,221009  Welfare and Entertainment,,"10,185","10,185",,,,"10,185","10,185",,0,0
171,,,"221011  Printing, Stationery, Photocopying and ",,"20,000","17,919",,,,"20,000","17,919",,0,0
172,,,221012  Small Office Equipment,,"17,000","17,000",,,,"17,000","17,000",,0,0
173,,,222001  Telecommunications,,"8,000","8,000",,,,"8,000","8,000",,0,0
174,,,227001  Travel Inland,,"44,648","44,763",,,,"44,648","44,763",,0,0
175,,,227002  Travel Abroad,,"49,000","49,000",,,,"49,000","49,000",,0,0
176,,,"227004  Fuel, Lubricants and Oils",,"31,000","31,000",,,,"31,000","31,000",,0,0
177,,,228002  Maintenance - Vehicles,,"18,000","18,000",,,,"18,000","18,000",,0,0
178,Development Budget Estimates,,,,,,,,,,,,,
179,,,,,,,,Project  0007A Strengthening of the President's Office,,,,,,
180,,,,,,,Output:160352 Mobilisation and Implementation Monitoring,,,,,,,
181,,,,,,,,,,,"1,251,177",,,
182,,,,,,,,,,,"1,251,177",,,
183,,,,,,,Output:160375 Purchase of Motor Vehicles and Other Transport Equipment,,,,,,,
184,,,231004  Transport Equipment,,0,0,,,,"900,797","900,793",,"900,797","900,793"
185,,,312206  Gross Tax,,0,0,,,,"300,000","300,000",,"300,000","300,000"
186,,,,,,,,,,,Total,,,
187,,,,,,,,,,"29,373,369",,,,
188,,,,,,,,,,"29,073,369",,,,
189,,Vote Function 1604 Coordination of the Security Sector,,,,,,,,,,,,
190,Recurrent Budget Estimates,,,,,,,,,,,,,
191,,,,,,,,Programme  01C Headquarters (Security Sector Coordination),,,,,,
192,,,,,,,Output:160401 Coordination of Security Services,,,,,,,
193,,,224003  Classified Expenditure,,"3,940,034","3,940,034",,,,"3,940,034","3,940,034",,0,0
194,,,,,,,,,Public Administration Sector ,,,,,
195,,,,,,,,,,,,Vote:001,,
196,,,,Office of the President,,,,,,,,,,
197,,Vote Function 1604 Coordination of the Security Sector,,,,,,,,,,,,
198,,,,,,,,Programme  01C Headquarters (Security Sector Coordination),,,,,,
199,,,,,,,,,,,Total,,,
200,,,,,,,,,,"3,940,034",,,,
201,,,,,,,,,,"3,940,034",,,,
202,,"Vote Function 1649 Policy, Planning and Support Services",,,,,,,,,,,,
203,Recurrent Budget Estimates,,,,,,,,,,,,,
204,,,,,,,,Programme  01 Headquarters,,,,,,
205,,,,,,,"Output:164901 Policy, consultation, planning and monitoring services",,,,,,,
206,,,211101  General Staff Salaries,,0,0,,,,"183,674","504,811",,"183,674","504,811"
207,,,211103  Allowances,,"98,745","99,000",,,,"98,745","99,000",,0,0
208,,,221002  Workshops and Seminars,,"91,776","72,288",,,,"91,776","72,288",,0,0
209,,,221003  Staff Training,,"59,326","59,326",,,,"59,326","59,326",,0,0
210,,,"221007  Books, Periodicals and Newspapers",,"6,781","5,550",,,,"6,781","5,550",,0,0
211,,,221008  Computer Supplies and IT Services,,"51,040","51,040",,,,"51,040","51,040",,0,0
212,,,221009  Welfare and Entertainment,,"45,594","45,594",,,,"45,594","45,594",,0,0
213,,,"221011  Printing, Stationery, Photocopying and ",,"118,914","106,997",,,,"118,914","106,997",,0,0
214,,,221012  Small Office Equipment,,"22,742","22,742",,,,"22,742","22,742",,0,0
215,,,221016  IFMS Recurrent Costs,,"47,763","47,763",,,,"47,763","47,763",,0,0
216,,,221017  Subscriptions,,"60,000","60,000",,,,"60,000","60,000",,0,0
217,,,225001  Consultancy Services- Short-term,,"12,750","12,265",,,,"12,750","12,265",,0,0
218,,,,,,,Output:164902 Ministry Support Services,,,,,,,
219,,,211101  General Staff Salaries,,0,0,,,,"2,324,560","2,324,715",,"2,324,560","2,324,715"
220,,,211103  Allowances,,"230,304","230,304",,,,"230,304","230,304",,0,0
221,,,213001  Medical Expenses(To Employees),,"26,151","26,151",,,,"26,151","26,151",,0,0
222,,,"213002  Incapacity, death benefits and funeral e",,"45,000","45,000",,,,"45,000","45,000",,0,0
223,,,221017  Subscriptions,,"84,000","84,000",,,,"84,000","84,000",,0,0
224,,,222001  Telecommunications,,"396,812","396,812",,,,"396,812","396,812",,0,0
225,,,223002  Rates,,891,891,,,,891,891,,0,0
226,,,223003  Rent - Produced Assets to private entiti,,"880,422","880,422",,,,"880,422","880,422",,0,0
227,,,223004  Guard and Security services,,"96,001","96,001",,,,"96,001","96,001",,0,0
228,,,223005  Electricity,,"90,601","90,601",,,,"90,601","90,601",,0,0
229,,,223006  Water,,"72,169","72,169",,,,"72,169","72,169",,0,0
230,,,224002  General Supply of Goods and Services,,"213,190","191,871",,,,"213,190","191,871",,0,0
231,,,227001  Travel Inland,,"571,225","771,225",,,,"571,225","771,225",,0,0
232,,,227002  Travel Abroad,,"115,767","115,767",,,,"115,767","115,767",,0,0
233,,,"227004  Fuel, Lubricants and Oils",,"249,601","49,601",,,,"249,601","49,601",,0,0
234,,,228001  Maintenance - Civil,,"139,079","139,079",,,,"139,079","139,079",,0,0
235,,,228002  Maintenance - Vehicles,,"677,805","677,805",,,,"677,805","677,805",,0,0
236,,,"228003  Maintenance Machinery, Equipment an",,"57,200","57,200",,,,"57,200","57,200",,0,0
237,,,,,,,Output:164903 Ministerial and Top Management Services,,,,,,,
238,,,211101  General Staff Salaries,,0,0,,,,"4,955,588","4,955,920",,"4,955,588","4,955,920"
239,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,"410,550",0,,,,"410,550","410,550",,0,"410,550"
240,,,211103  Allowances,,"506,235","506,235",,,,"506,235","506,235",,0,0
241,,,227001  Travel Inland,,"591,873","591,873",,,,"591,873","591,873",,0,0
242,,,227002  Travel Abroad,,"205,814","205,814",,,,"205,814","205,814",,0,0
243,,,"227004  Fuel, Lubricants and Oils",,"165,601","165,601",,,,"165,601","165,601",,0,0
244,,,,,,,,,Public Administration Sector ,,,,,
245,,,,,,,,,,,,Vote:001,,
246,,,,Office of the President,,,,,,,,,,
247,,"Vote Function 1649 Policy, Planning and Support Services",,,,,,,,,,,,
248,,,,,,,,Programme  01 Headquarters,,,,,,
249,,,,,,,Output:164999 Arrears,,,,,,,
250,,,321605  Domestic arrears,,"5,210,000",0,,,,"5,210,000",0,,0,0
251,,,,,,,,Programme  10 Statutory,,,,,,
252,,,,,,,Output:164903 Ministerial and Top Management Services,,,,,,,
253,,,211104  Statutory salaries,,0,0,,,,"85,200","85,200",,"85,200","85,200"
254,Development Budget Estimates,,,,,,,,,,,,,
255,,,,,,,,Project  0001 Construction of GoU offices,,,,,,
256,,,,,,,Output:164972 Government Buildings and Administrative Infrastructure,,,,,,,
257,,,231001  Non-Residential Buildings,,0,0,,,,"1,370,000","1,370,000",,"1,370,000","1,370,000"
258,,,312206  Gross Tax,,0,0,,,,"140,500","140,500",,"140,500","140,500"
259,,,,,,,,Project  0007 Strengthening of the President's Office,,,,,,
260,,,,,,,Output:164975 Purchase of Motor Vehicles and Other Transport Equipment,,,,,,,
261,,,231004  Transport Equipment,,0,0,,,,"705,667","705,437",,"705,667","705,437"
262,,,312206  Gross Tax,,0,0,,,,"150,000","150,000",,"150,000","150,000"
263,,,,,,,"Output:164976 Purchase of Office and ICT Equipment, including  Software",,,,,,,
264,,,231005  Machinery and Equipment,,0,0,,,,"221,004","218,053",,"221,004","218,053"
265,,,,,,,Output:164977 Purchase of Specialised Machinery & Equipment,,,,,,,
266,,,231005  Machinery and Equipment,,0,0,,,,"48,594","48,594",,"48,594","48,594"
267,,,,,,,Output:164978 Purchase of Office and Residential Furniture and Fittings,,,,,,,
268,,,231006  Furniture and Fixtures,,0,0,,,,"251,000","251,230",,"251,000","251,230"
269,,,,,,,,,,,Total,,,
270,,,,,,,,,,"22,087,508",,,,
271,,,,,,,,,,"16,587,008",,,,
272,,,,,,,,,Public Administration Sector ,,,,,
273,,,,,,,,,,,,Vote:002,,
274,,,,State House,,,,,,,,,,
275,,Vote Function 1611 Administration & Support to the Presidency,,,,,,,,,,,,
276,Recurrent Budget Estimates,,,,,,,,,,,,,
277,,,,,,,,Programme  01 Headquarters,,,,,,
278,,,,,,,"Output:161101 Adequate financial, human & logistical resources acquired and availed",,,,,,,
279,,,211101  General Staff Salaries,,0,0,,,,"812,986","1,367,281",,"812,986","1,367,281"
280,,,211103  Allowances,,"1,228,141","1,777,384",,,,"1,228,141","1,777,384",,0,0
281,,,213001  Medical Expenses(To Employees),,"13,194","13,194",,,,"13,194","13,194",,0,0
282,,,"213002  Incapacity, death benefits and funeral e",,"13,194","13,194",,,,"13,194","13,194",,0,0
283,,,221001  Advertising and Public Relations,,"18,000","18,000",,,,"18,000","18,000",,0,0
284,,,221002  Workshops and Seminars,,"60,000","48,000",,,,"60,000","48,000",,0,0
285,,,221003  Staff Training,,"152,285","696,176",,,,"152,285","696,176",,0,0
286,,,221004  Recruitment Expenses,,"10,000","10,000",,,,"10,000","10,000",,0,0
287,,,"221007  Books, Periodicals and Newspapers",,"19,980","19,512",,,,"19,980","19,512",,0,0
288,,,221008  Computer Supplies and IT Services,,"52,775","74,764",,,,"52,775","74,764",,0,0
289,,,221009  Welfare and Entertainment,,"310,556","483,015",,,,"310,556","483,015",,0,0
290,,,"221011  Printing, Stationery, Photocopying and ",,"61,571","51,571",,,,"61,571","51,571",,0,0
291,,,221016  IFMS Recurrent Costs,,"14,880","14,880",,,,"14,880","14,880",,0,0
292,,,221017  Subscriptions,,"59,124","85,000",,,,"59,124","85,000",,0,0
293,,,222001  Telecommunications,,"297,436","297,436",,,,"297,436","297,436",,0,0
294,,,222002  Postage and Courier,,"5,120","5,120",,,,"5,120","5,120",,0,0
295,,,222003  Information and Communications Tech,,"400,000","400,000",,,,"400,000","400,000",,0,0
296,,,223003  Rent - Produced Assets to private entiti,,"484,211","527,931",,,,"484,211","527,931",,0,0
297,,,223005  Electricity,,"67,204","134,409",,,,"67,204","134,409",,0,0
298,,,223006  Water,,"67,204","80,645",,,,"67,204","80,645",,0,0
299,,,224002  General Supply of Goods and Services,,"380,126","188,253",,,,"380,126","188,253",,0,0
300,,,226001  Insurances,,"527,666","753,168",,,,"527,666","753,168",,0,0
301,,,227001  Travel Inland,,"614,702","2,069,800",,,,"614,702","2,069,800",,0,0
302,,,227002  Travel Abroad,,"187,068","350,000",,,,"187,068","350,000",,0,0
303,,,"227003  Carriage, Haulage, Freight and Transpo",,"50,000",0,,,,"50,000",0,,0,0
304,,,"227004  Fuel, Lubricants and Oils",,"120,000","120,000",,,,"120,000","120,000",,0,0
305,,,228002  Maintenance - Vehicles,,"342,989","777,442",,,,"342,989","777,442",,0,0
306,,,"228003  Maintenance Machinery, Equipment an",,"31,152","65,969",,,,"31,152","65,969",,0,0
307,,,228004  Maintenance  Other,,"2,247,586","4,000,000",,,,"2,247,586","4,000,000",,0,0
308,,,,,,,"Output:161102 Logistical Support, Welfare & security provided to HE The President, VP & their families",,,,,,,
309,,,211101  General Staff Salaries,,0,0,,,,"505,992","850,978",,"505,992","850,978"
310,,,211103  Allowances,,"6,820,847","9,871,229",,,,"6,820,847","9,871,229",,0,0
311,,,213001  Medical Expenses(To Employees),,"8,607","8,607",,,,"8,607","8,607",,0,0
312,,,"213002  Incapacity, death benefits and funeral e",,"8,607","8,607",,,,"8,607","8,607",,0,0
313,,,221003  Staff Training,,"26,812","60,000",,,,"26,812","60,000",,0,0
314,,,"221007  Books, Periodicals and Newspapers",,"40,020","31,104",,,,"40,020","31,104",,0,0
315,,,221008  Computer Supplies and IT Services,,"34,429","48,775",,,,"34,429","48,775",,0,0
316,,,221009  Welfare and Entertainment,,"1,991,090","3,096,795",,,,"1,991,090","3,096,795",,0,0
317,,,221010  Special Meals and Drinks,,"979,478","1,403,424",,,,"979,478","1,403,424",,0,0
318,,,"221011  Printing, Stationery, Photocopying and ",,"40,168","40,168",,,,"40,168","40,168",,0,0
319,,,222001  Telecommunications,,"580,000","580,000",,,,"580,000","580,000",,0,0
320,,,222002  Postage and Courier,,574,574,,,,574,574,,0,0
321,,,223003  Rent - Produced Assets to private entiti,,"315,789","315,789",,,,"315,789","315,789",,0,0
322,,,223005  Electricity,,"223,118","446,237",,,,"223,118","446,237",,0,0
323,,,223006  Water,,"223,118","267,742",,,,"223,118","267,742",,0,0
324,,,224001  Medical and Agricultural supplies,,"84,000","184,000",,,,"84,000","184,000",,0,0
325,,,224002  General Supply of Goods and Services,,"1,634,112","2,130,280",,,,"1,634,112","2,130,280",,0,0
326,,,224003  Classified Expenditure,,"2,400,000","18,000,000",,,,"2,400,000","18,000,000",,0,0
327,,,227001  Travel Inland,,"2,830,125","9,529,483",,,,"2,830,125","9,529,483",,0,0
328,,,227002  Travel Abroad,,"251,701","500,000",,,,"251,701","500,000",,0,0
329,,,228002  Maintenance - Vehicles,,"1,011,750","2,293,300",,,,"1,011,750","2,293,300",,0,0
330,,,,,,,,,Public Administration Sector ,,,,,
331,,,,,,,,,,,,Vote:002,,
332,,,,State House,,,,,,,,,,
333,,Vote Function 1611 Administration & Support to the Presidency,,,,,,,,,,,,
334,,,,,,,,Programme  01 Headquarters,,,,,,
335,,,"228003  Maintenance Machinery, Equipment an",,"38,031","80,537",,,,"38,031","80,537",,0,0
336,,,228004  Maintenance  Other,,"35,950","600,000",,,,"35,950","600,000",,0,0
337,,,,,,,"Output:161103 Masses mobilized towards poverty reduction, peace & development",,,,,,,
338,,,211101  General Staff Salaries,,0,0,,,,"1,972,079","3,316,645",,"1,972,079","3,316,645"
339,,,211103  Allowances,,"1,230,932","1,781,422",,,,"1,230,932","1,781,422",,0,0
340,,,213001  Medical Expenses(To Employees),,"11,372","11,372",,,,"11,372","11,372",,0,0
341,,,"213002  Incapacity, death benefits and funeral e",,"11,372","11,372",,,,"11,372","11,372",,0,0
342,,,221008  Computer Supplies and IT Services,,"45,487","64,440",,,,"45,487","64,440",,0,0
343,,,221009  Welfare and Entertainment,,"185,552","288,594",,,,"185,552","288,594",,0,0
344,,,221010  Special Meals and Drinks,,"320,160","600,000",,,,"320,160","600,000",,0,0
345,,,"221011  Printing, Stationery, Photocopying and ",,"53,068","47,109",,,,"53,068","47,109",,0,0
346,,,222001  Telecommunications,,"226,301","226,301",,,,"226,301","226,301",,0,0
347,,,222002  Postage and Courier,,758,758,,,,758,758,,0,0
348,,,223005  Electricity,,"57,796","115,591",,,,"57,796","115,591",,0,0
349,,,223006  Water,,"57,796","69,355",,,,"57,796","69,355",,0,0
350,,,224002  General Supply of Goods and Services,,"120,000","120,000",,,,"120,000","120,000",,0,0
351,,,227001  Travel Inland,,"5,085,041","17,999,745",,,,"5,085,041","17,999,745",,0,0
352,,,"227003  Carriage, Haulage, Freight and Transpo",,"25,000",0,,,,"25,000",0,,0,0
353,,,228002  Maintenance - Vehicles,,"1,333,522","3,022,650",,,,"1,333,522","3,022,650",,0,0
354,,,"228003  Maintenance Machinery, Equipment an",,"9,142","19,359",,,,"9,142","19,359",,0,0
