Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Budget Function,Programme
Recurrent Budget Estimates,APAC District,Central Government,"13,130",321437  Conditional Grant to Women Youth and Disability Grant,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,APAC District,Central Government,"2,626",o/w disability,2015/16 Draft Estimates,Vote:502,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,APAC District,Central Government,"5,252",o/w Women,2015/16 Draft Estimates,Vote:502,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,APAC District,Central Government,"5,252",o/w Youth,2015/16 Draft Estimates,Vote:502,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,APAC District,Central Government,"3,646",321434  Conditional Grant to Community Devt Assistants Non Wage,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,APAC District,Central Government,"14,394",321420  Conditional Grant to Functional Adult Lit,2015/16 Draft Estimates,Vote:502,,Non Wage,Programme  09 Community Based Services
Development Budget Estimates,APAC District,Central Government,"719,133",321426  LGMSD (Former LGDP),2015/16 Draft Estimates,Vote:502,,Dev't,Project  0115 LGDP FUND
Development Budget Estimates,APAC District,Central Government,"32,917",o/w Aduku T.C,2015/16 Draft Estimates,Vote:502,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,APAC District,Central Government,"49,006",o/w Apac T.C.,2015/16 Draft Estimates,Vote:502,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,APAC District,Central Government,"756,843",321428  Conditional transfer for Rural Water,2015/16 Draft Estimates,Vote:502,,Dev't,Project  0156 RURAL WATER AND SANITATION
Development Budget Estimates,APAC District,Central Government,"328,454",321431  Conditional Grant to PHC - development,2015/16 Draft Estimates,Vote:502,,Dev't,Project  0422 PRIMARY HEALTH CARE
Development Budget Estimates,APAC District,Central Government,"563,290",321433  Conditional Grant to SFG,2015/16 Draft Estimates,Vote:502,,Dev't,Project  0423 SCHOOL CONSTRUCTION PROGRAMME
Development Budget Estimates,APAC District,Central Government,"708,738",321412  Roads Rehabilitation Grant,2015/16 Draft Estimates,Vote:502,,Dev't,Project  1168 ROAD REHABILITATION GRANT
Development Budget Estimates,APAC District,Central Government,"486,886",321452  Construction of Secondary Schools,2015/16 Draft Estimates,Vote:502,,Dev't,Project  1214 SECONDARY SCHOOL CONSTRUCTION
Development Budget Estimates,APAC District,Central Government,"250,080",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:502,,Dev't,Project  1218 UGANDA SANITATION FUND
Development Budget Estimates,APAC District,Central Government,"700,000",321417  General Hospitals Rehabilitation,2015/16 Draft Estimates,Vote:502,,Dev't,Project  1243 GENERAL HOSPITALS REHABILITATION
Recurrent Budget Estimates,ARUA District,Central Government,"2,153,853",321451  Transfer of District Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:503,,Wage,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"245,485",321403  District Equalisation Grant,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"1,427,954",321401  District Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"30,000",221016  IFMS Recurrent Costs,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"146,483",321427  Conditional Grant to PAF monitoring,2015/16 Draft Estimates,Vote:503,,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,ARUA District,Central Government,"72,597",o/w Normal PAF Monitoring & Accountability,2015/16 Draft Estimates,Vote:503,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,ARUA District,Central Government,"40,279",o/w PRDP allocation,2015/16 Draft Estimates,Vote:503,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,ARUA District,Central Government,"33,608",o/w Printing of Payslips,2015/16 Draft Estimates,Vote:503,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,ARUA District,Central Government,"219,964",321445  Conditional transfers to Councillors allowances and Ex- Gratia for LLGs,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ARUA District,Central Government,"213,170",321444  Conditional transfers to Salary and Gratuity for LG elected Political Leaders,2015/16 Draft Estimates,Vote:503,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ARUA District,Central Government,"102,368",321439  Conditional transfers to DSC Operational Costs,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ARUA District,Central Government,"88,539","321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ARUA District,Central Government,"5,212",o/w Contracts Committee,2015/16 Draft Estimates,Vote:503,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ARUA District,Central Government,"7,903",o/w District Land Board,2015/16 Draft Estimates,Vote:503,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ARUA District,Central Government,"15,005",o/w PAC,2015/16 Draft Estimates,Vote:503,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ARUA District,Central Government,"60,418",o/w PRDP Component,2015/16 Draft Estimates,Vote:503,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ARUA District,Central Government,"24,336",321410  Conditional Grant to DSC Chairs’ Salaries,2015/16 Draft Estimates,Vote:503,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,ARUA District,Central Government,"467,864",321448  Conditional transfers to Production and Marketing,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  04 Production
Recurrent Budget Estimates,ARUA District,Central Government,"7,200",o/w Trade and Commercial Services,2015/16 Draft Estimates,Vote:503,321448  Conditional transfers to Production and Marketing,Non Wage,Programme  04 Production
Recurrent Budget Estimates,ARUA District,Central Government,"121,225",321408  Conditional Grant to Agric. Ext Salaries,2015/16 Draft Estimates,Vote:503,,Wage,Programme  04 Production
Recurrent Budget Estimates,ARUA District,Central Government,"568,325",321418  Conditional Grant to NGO Hospitals,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,ARUA District,Central Government,"413,012",321413  Conditional Grant to PHC- Non wage,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,ARUA District,Central Government,"4,141,569",321407  Conditional Grant to PHC Salaries,2015/16 Draft Estimates,Vote:503,,Wage,Programme  05 Health
Recurrent Budget Estimates,ARUA District,Central Government,"422,828",321462  Conditional Transfers for Primary Teachers Colleges,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"134,200",321461  Conditional Transfers for Non Wage Technical Institutes,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"196,000",321457  Conditional Transfers for Non Wage Technical & Farm Schools,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"62,517",321447  Conditional transfers to School Inspection Grant,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"28,616",o/w DEO Operational Costs,2015/16 Draft Estimates,Vote:503,321447  Conditional transfers to School Inspection Grant,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"557,795",321432  Conditional Grant to Health Training Schools,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"1,421,907",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"1,957,343",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"4,090,271",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:503,,Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"19,716,309",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:503,,Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"867,418",321404  Conditional Grant to Tertiary Salaries,2015/16 Draft Estimates,Vote:503,,Wage,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"22,000",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,ARUA District,Central Government,"69,602",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,ARUA District,Central Government,"62,531",321446  Conditional transfers to Special Grant for PWDs,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ARUA District,Central Government,"29,951",321437  Conditional Grant to Women Youth and Disability Grant,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ARUA District,Central Government,"5,990",o/w Disability,2015/16 Draft Estimates,Vote:503,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ARUA District,Central Government,"11,980",o/w Women,2015/16 Draft Estimates,Vote:503,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ARUA District,Central Government,"11,980",o/w Youth,2015/16 Draft Estimates,Vote:503,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ARUA District,Central Government,"37,136",321434  Conditional Grant to Community Devt Assistants Non Wage,2015/16 Draft Estimates,Vote:503,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,ARUA District,Central Government,"28,818",o/w CBR,2015/16 Draft Estimates,Vote:503,321434  Conditional Grant to Community Devt Assistants Non Wage,Non Wage,Programme  09 Community Based Services
