"","x"
"102","Médecins sans Frontières - Canada"
"103","Caritas Germany (DCV)"
"104","Ev. Zentralstelle e.V."
"105","United Nations Mission in the DRC (Mission d'Observation des Nations Unies au Congo, MONUC)"
"106","Danish Red Cross"
"107","Caritas Denmark"
"108","The Danish-Ethiopian Joint Initiative"
"109","International Trust Fund for Demining and Victim Assistance "
"110","United Nations Educational, Scientific and Cultural Organization"
"111","Agriterra"
"112","Food for the Hungry International"
"113","American Refugee Committee"
"114","OXFAM Netherlands (NOVIB)"
"115","Trocaire"
"116","ACT Alliance / Christian Aid"
"117","Komitee Arzte"
"118","India"
"119","ACT Alliance / Lutheran World Relief"
"120","ACT Alliance / Church World Service"
"121","Norwegian Red Cross"
"122","Yasska Foundation"
"123","United Nations Transitional Authority in East Timor"
"124","International Organization for Migration"
"125","Indonesian Red Crescent Society"
"126","Swedish Red Cross "
"127","United Nations Corps of Guards in Iraq"
"128","Irish Red Cross Society"
"129","Republic of Korea National Red Cross"
"130","Canadian Food Grains Bank"
"131","JTS-Korea"
"132","World Vision Korea"
"133","Korean Reconciliation Committee, Archdiocese of Korea"
"134","Korean Sharing Movement"
"135","South-North Sharing Campaign for Peace and Reunification"
"136","Eugene Bell Foundation"
"137","Good Neighbours Inc"
"138","Australian Red Cross"
"139","International Labour Organization"
"140","Stichting Vluchteling"
"141","GKST - Presbyterian Christian Church of Central Sulawesi"
"142","Canadian Red Cross Society"
"143","TIRUS - Maluku network of NGOs"
"144","United Nations Relief and Works Agency for Palestine Refugees in the Near East"
"145","Danish De-mining Centre"
"146","Overseas Development Institute"
"147","MS Denmark"
"148","Danish Mission Council Development"
"149","International Council of Voluntary Agencies"
"150","Collaborative for Development Action"
"151","SNG"
"152","Emergency Nutrition Network"
"153","International Campaign to Ban Landmines"
"154","Sweden"
"155","Mongolian Red Cross"
"156","Mongolia"
"157","Root of Grass"
"158","Peace Winds Japan"
"159","United Nations Mine Action Service"
"160","UN Foundation"
"161","PRB"
"162","Swedish Lutheran Aid"
"163","OXFAM Canada"
"164","Svenska Missionsradet"
"165","Diakonia World Federation"
"166","Seychelles Red Cross Society"
"167","European Investment Bank"
"168","Caritas Spain"
"169","Mozambique"
"170","United Nations Environment Programme"
"171","Swiss Red Cross"
"172","African Development Bank"
"173","Organization for African Unity"
"174","Egyptian Red Crescent Society"
"175","Medico International"
"176","PMU-Interlife"
"177","ActionAid"
"178","Canada"
"179","Private (individuals & organisations)"
"180","Arbeiter-Samariter-Bund Deutschland e.V"
"181","Mozambique Red Cross Society"
"182","Fonds voor OntwikkelingsSamenwerking"
"183","OXFAM Belgium"
"184","Media Action Intl."
"185","Catholic Agency for Overseas Development"
"186","HelpAge International"
"187","Comitato di Coordinamento delle Organizzazione per il Servizio Volontario"
"188","Nicaraguan Red Cross"
"189","Pakistan Red Crescent Society"
"190","PTM - Paz y Tercer Mundo"
"191","CRIC - Centro Regionale di Intervento per la Cooperazione"
"192","EDM"
"193","German Doctors for Developing Countries"
"194","Philippine Red Cross "
"195","Norwegian Medical Association"
"196","Foundation for European Development Assistance"
"197","Malta Red Cross Society"
"198","Terra Tech"
"199","UN Mission in Sierra Leone"
"200","World Bank"
"201","CARE USA"
"202","Life and Peace Institute"
"203","International Aid Services"
"204","War Torn Societies"
"205","United Nations Development Fund for Women"
"206","Vétérinaires sans Frontières (Switzerland)"
"207","United Nations Mission in Kosovo"
"208","HALO Trust"
"209","Rape Crisis Centre"
"210","Housing and Property Directorate"
"211","Swiss Development Cooperation/Swiss Humanitarian Aid"
"212","International Commission on Missing Persons"
"213","International Medical Corps"
"214","Kolnische Franziskanerprovinz Bosnienhilfe"
"215","Technisches Hilfswerk (THW)"
"216","Vive Zene"
"217","HealthNet International Transcultural Psychosocial Organisation"
"218","GECONKFOR/CIMIC"
"219","Hammer Forum e.V"
"220","HCC-Humanitäre Nothilfeprogramme weltweit"
"221","Hilfe zur Selbsthilfe e.V."
"222","Hilfe fur Kinder in Not e.V"
"223","Kinderberg International e.V."
"224","Medica Mondiale"
"225","VEH"
"226","VEH/HAD"
"227","Amica hilft in Bosnien e.V."
"228","Balkanactive van de gemeenten"
"229","Action for Independent Media"
"230","Danish People's Aid"
"231","Bundesanstalt Technisches Hilfswerk"
"232","Arbeiterwohlfahrt Bayern"
"233","Lutherischer Weltbund Deutsches Nationalkomitee"
"234","Finnish Red Cross"
"235","Commission of Real Property Claims"
"236","Sezam"
"237","Werkgroep Nederland Srebrenica"
"238","International Catholic Migration Commission"
"239","International Orthodox Christian Charities"
"240","ACT Alliance / United Methodist Committee on Relief"
"241","Freundschaftsbrucke-Kinder der Perestroika e.V"
"242","Freundschaftsbrucke Deutschland e.V."
"243","International Relief and Development"
"244","International Alliances"
"245","Intercare"
"246","Pharmaciens sans Frontières (France)"
"247","Mala Sirena"
"248","NGOs (details not yet provided)"
"249","America's Development Foundation "
"250","WEUDAM - WEU De-mining Assistance Mission"
"251","Belgian Red Cross"
"252","United Nations Volunteers Programme"
"253","DSI - Danish Council of Organizations of Disabled People"
"254","Aide Médicale  Internationale "
"255","Danish Powerlines"
"256","United Nations Voluntary Trust Fund on Mine Action"
"257","Danube Commission"
"258","Council of Europe Development Bank"
"259","Danish People's Relief Association"
"260","ACT Alliance / Diakonie Emergency Aid"
"261","Hilfswerk Austria International"
"262","Médecins sans Frontières - France"
"263","Swedish Free Mission"
"264","Intergov Authority on Development"
"265","Union of Sudan African Parties"
"266","Fida International (previously Finnish Free Foreign Mission)"
"267","MEDAIR"
"268","Remedial English and Science Course Centre"
"269","Danish Assistance to the Self-Reliance Strategy"
"270","Austrian Red Cross"
"271","Red Cross of Viet Nam"
"272","World Vision Viet Nam"
"273","Viet Nam"
"274","European Commission"
"275","Spedition TBSG Bremen"
"276","Fondation Internationale Carrefour"
"277","Eaux de Marseille (Société des)"
"278","Algerian Red Crescent"
"279","Spanish Red Cross"
"280","Caritas Sweden"
"281","SUKS - Schweizerisches Unterstützungskomitee für die Sahraouis"
"282","Center for  Civil Military Relations"
"283","Allianz Mission"
"284","INTERSOS"
"285","Olympic Aid"
"286","ZOA"
"287","ACT Alliance / Lutheran World Federation"
"288","Menschen Gegen Minen"
"289","World Vision Angola"
"290","CARE Netherlands"
"291","SIM Canada"
"292","Swedish Covenant Mission"
"293","Miloserdie (Mercy)  "
"294","Swiss Disaster Relief Unit"
"295","Ft. Hubert Leeb"
"296","Ft. Josef Schröger"
"297","Ft. Jakob Krinzinger"
"298","Germany"
"299","World Vision Relief and Development  Inc."
"300","Centre canadien d'étude et de coopération internationale (CECI)"
"301","ACT Alliance / Solidarité Protestante"
"302","Gruppo Volontariato Civile"
"303","United Nations Office in Burundi"
"304","Solidarités International"
"305","CARAES"
"306","Centre for International Political Studies"
"307","CARE France"
"308","Cambodian Red Cross"
"309","Reprise de Justesse"
"310","ACT Alliance / Finnchurchaid/ Mines Advisory Group"
"311","FSS"
"312","Honduras Comité Permanente de Contingencias"
"313","Universidad de Las Villas"
"314","Mexican Red Cross"
"315","Hospital Hermanos Ameijeiras"
"316","Medicuba en Salud"
"317","Sherrit"
"318","Honduran Red Cross"
"319","Icelandic Red Cross"
"320","Janus e.V"
"321","Inter-American Development Bank"
"322","ACF - France"
"323","Lazarus-Hilfswerk e.V."
"324","Danchurchaid / Danish De-mining Group"
"325","Centre for Peacekeeping and Community Development"
"326","Cooperazione Internazionale - COOPI"
"327","The Swedish Fellowship of Reconciliation"
"328","ASIA Onlus"
"329","Sr. Elfride Jagers-berger"
"330","Cooperative Housing Foundation International"
"331","World Vision Canada"
"332","United Nations Department of Safety and Security"
"333","Air Serv International"
"334","VREDESEILANDEN"
"335","Interchurch Medical Assistance"
"336","Sr. Hildegard Litzlhammer"
"337","Search for Common Ground"
"338","MEMISA - Action médicale missionnaire "
"339","Medical Emergency Relief International"
"340","Louvain-Developpement"
"341","Maltese Aid Agency"
"342","Aid for Central Africa"
"343","UN Institute"
"344","Ayuda en Accion"
"345","SANOFI"
"346","New Zealand Red Cross"
"347","Swedish Civil Contingencies Agency (MSB)"
"348","Salvadorean Red Cross Society"
"349","World Vision El Salvador"
"350","Plan International"
"351","Volens"
"352","Atlas Logistique"
"353","Japanese Red Cross Society"
"354","Las Dignas"
"355","Horizont 3000"
"356","El Salvador"
"357","ACT Alliance / Church of Sweden"
"358","Spain"
"359","Swedish Cooperative Centre"
"360","Scottish Catholic International Aid Fund"
"361","Saudi Arabia (Kingdom of)"
"362","Switzerland"
"363","Humanitäre Hilfe für"
"364","Refugee Trust"
"365","REST - Relief Society of Tigray"
"366","Comitato Internationale per lo Sviluppo dei Popoli"
"367","Menschen für"
"368","Canadian Physicians for Aid and Relief"
"369","Disaster Prevention and Preparedness Commission Ethiopia"
"370","Service Social International  "
"371","Solidarität mit Lateinamerika"
"372","World Vision Germany"
"373","Organization Catholique Pour la Promotion Humaine"
"374","United Nations Department of Peace-Keeping Operations"
"375","World Animal Protection"
"376","Caritas India"
"377","Institute for International Social Affairs"
"378","Polish Red Cross"
"379","OXFAM/Community Aid Abroad (OXFAM-Australia)"
"380","Tear Australia"
"381","Emergency Organization Group Copenhagen"
"382","French Red Cross"
"383","Edith Wilkins Hope Foundation"
"384","Presbyterian Church in Ireland"
"385","AMDA INTERNATIONAL"
"386","Indian Red Cross Society"
"387","Thailand"
"388","Thai Red Cross Society"
"389","CARE Norway"
"390","Karl Kubel Foundation for Children's Families"
"391","Caritas Norway"
"392","Self Employment Womens' Association"
"393","Concern India"
"394","Catholic Mission"
"395","Singapore International Foundation"
"396","Evangelical Fellowship of India Commission on Relief"
"397","Oxfam India"
"398","Project Aparajita - VHAI"
"399","ACT Alliance / Lutheran World Relief (LWR/Canada)"
"400","LH/ACT"
"401","Anna Lininger"
"402","Diocese of Ambikapur"
"403","Mines Advisory Group"
"404","Qandil"
"405","Christoffel-Blindenmission"
"406","ACF - UK"
"407","INTERMON"
"408","Terra Nuova"
"409","National Agricultural Cooperative Federation"
"410","American Friends Service Committee"
"411","Children's Aid Direct"
"412","Malawi Red Cross Society"
"413","Evangelical Development Programme"
"414","John Snow International"
"415","Parliamentarians for Global Action"
"416","Human Rights Watch"
"417","Vereniging voor Personele Samenwerking Ontwikkelings-landen"
"418","International Civil Defense Organisation"
"419","Danish Association for International Co-operation"
"420","Danish Refugee Council/ICVA"
"421","Organization for Security & Cooperation in Europe"
"422","European Children's Trust"
"423","JCS - Joint Christian Services"
"424","HOPE"
"425","SAH - Schweizerisches Arbeiterhilfswerk"
"426","österreichisches Nord-Süd-Institut"
"427","World Relief"
"428","Namibia Red Cross"
"429","University of Nebraska"
"430","Initiative Dritte Welt Braunau"
"431","Eine Welt Kreis, Zell an der Pram"
"432","AQUADEV"
"433","Nigerian Red Cross Society"
"434","Asian Development Bank"
"435","KFUK/KFUM"
"436","Islamic Development Bank"
"437","Indivduell Mànniskohjàlp - Swedish NGO"
"438","International Nothilfe e.V., Coswig"
"439","Intl Humanitarian Org World View"
"440","Luchetti"
"441","Peruvian Red Cross"
"442","Boston Archiepiscopal Diocese"
"443","Ripley"
"444","Fundacion Paz - Holandesa"
"445","National Fishery Society, Peru"
"446","Santa Isabel Market"
"447","Andean Development Corporation"
"448","Saga Falabella"
"449","Lima Airport Partners"
"450","Peru Rail"
"451","Peruvian Private Enterprise Colchones Paraiso"
"452","Episcopal Conference, Peru"
"453","Medicos del Mundo"
"454","OIKOS - Intercooperação e Desenvolvimento "
"455","Movimiento por la Paz, el Desarme y la Libertad"
"456","Caritas Peru"
"457","Care Peru"
"458","Backus y Cervesur"
"459","Gamarra's Merchant Commission"
"460","JP Morgan Chase"
"461","ALICORP"
"462","Chinese Community in Peru"
"463","Fishermen of Christ Incorporated Philippines"
"464","Eine Welt-öö Landlerhilfe"
"465","Agri-Systems"
"466","Center for Victims of Torture"
"467","Inter Religious Council"
"468","Mercy Ships"
"469","Medical Research Council"
"470","Africare"
"471","African Educational Trust"
"472","SOS Kinderdorf"
"473","South African Red Cross Society"
"474","Ft. Karl Kuppelwieser"
"475","UN Agencies, NGOs and/or Red Cross (details not yet provided)"
"476","Child Advocacy International"
"477","Catholic Peace Movement"
"478","Admira"
"479","Macedonia Centre for International Cooperation"
"480","American Rescue Committee"
"481","Integrationsrat"
"482","ILR"
"483","Children's Relief"
"484","Edinburgh Direct Aid"
"485","Joint Saudi Committee for Kosovo Relief/Skopje"
"486","öö Volkshilfe"
"487","International Crisis Group"
"488","Pax Christi e.V"
"489","International Association for Maternal and Neonatal Health "
"490","Danish Refugee Board"
"491","Rehabilitation and Research Centre for Torture Victims"
"492","Ft. Bernard Kurera"
"493","WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan "
"494","Enfants du Monde - Droits de l'Homme"
"495","Vétérinaires sans Frontières (Germany)"
"496","Vétérinaires sans Frontières (Belgium)"
"497","Christian Mission Aid"
"498","IGAD Partnership Forum"
"499","Hopital sans Frontières"
"500","Alternative/SCF-UK"
"501","Nile People's Peace Conference"
"502","Partners in Rural Development"
"503","Dutch International Aid"
"504","Komitee Cap Anamur"
"505","United Nations Office for Project Services"
"506","Agency for Technical Cooperation and Development"
"507","Aga Khan Foundation"
"508","Centro d'Informazione e Educazione allo Sviluppo"
"509","Katholische Männerbewegung"
"510","Internationaler Verein für Frieden und Gerechtigkeit - Pro Humanitate e.V. Köln"
"511","FGMed"
"512","Counterpart International"
"513","ACT Alliance / Hungarian Interchurch Aid"
"514","Hungarian Red Cross"
"515","Hungarian Malteser Charity Service"
"516","Caritas Austria"
"517","Central Asian Free Exchange, USA"
"518","Joint Development Associates, USA"
"519","Uzbekistan"
"520","United States Catholic Conference"
"521","Red Cross Society of Georgia"
"522","MOVIMONDO"
"523","Cooperazione E Sviluppo - CESVI"
"524","Medical Aid for Palestinians"
"525","Enfants Refugies du Monde "
"526","CINS -  Cooperazione Italiana Nord Sud"
"527","Triangle"
"528","Zimbabwe Red Cross"
"529","North Atlantic Treaty Organization"
"530","Ockenden International"
"531","International Assistance Mission"
"532","Islamic Relief Worldwide"
"533","ISRA - Islamic Relief Agency"
"534","IBN SINA"
"535","Care Germany"
"536","Refugees International"
"537","Afghan Health and Social Assistance Organisation"
"538","MRCA - Medical Refresher Course for Afghan"
"539","action medeor e.V."
"540","Christusträger Bruderschaft"
"541","Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre"
"542","ERIC"
"543","Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan"
"544","BBC World Service Trust"
"545","IMA"
"546","International Resources Group"
"547","Associazione per la cooperazione internazionale e l'aiuto umanitario"
"548","MRCA / AMI"
"549","Saudi Arabian Red Crescent Society"
"550","Shelter for Life"
"551","International Development and Relief Foundation"
"552","Christian Children's Fund, USA"
"553","United Nations International Drug Control Programme"
"554","Afghanistan Solidarity Organization"
"555","GRSP - Ghazni Rural Support Program - Afghanistan"
"556","Voice of America"
"557","RONCO Consulting Corporation"
"558","GESA -  Gesundheitshilfe Afghanistan e.V"
"559","Afghan Development Association"
"560","Muslim Aid"
"561","Special Representative of the Secretary-General"
"562","SMU - Strategic Monitoring Unit (Afghanistan)"
"563","People in Need "
"564","Afghan Health & Development Services"
"565","Italian Agency for Food Aid (AGEA)"
"566","Espana con ACNUR"
"567","Organisation for Mine Awareness and Reconstruction"
"568","AÏNA (Afghanistan)"
"569","ACU/START"
"570","Greenshields Cowie"
"571","British Agencies Afghanistan Group"
"572","Mine Action Programme for Afghanistan"
"573","Médecins sans Frontières - Switzerland"
"574","Katachel e.V"
"575","Internews Europe"
"576","Comision Espanôla de Ayuda al Refugiado"
"577","Office for Drug Control and Crime Prevention"
"578","Tufts University"
"579","FOCUS International"
"580","International Center for Agricultural Research in Dry Areas "
"581","Transfair/Trans Group Express"
"582","Singapore Red Cross Society"
"583","Refugee Studies Centre"
"584","Nehemia Christenhilfsdienst e.V."
"585","GeoLogistics Services, Inc."
"586","International Dispensary Association"
"587","Carl Duisberg Gesellschaft"
"588","Agency for rehabilitation and Energy-Conservation in Afghanistan"
"589","CHA - Coordination of Humanitarian Assistance"
"590","CARE Australia"
"591","Australian Volunteers International"
"592","International Human Rights Law Group"
"593","War Child UK"
"594","VAF - Verein für Afghanistan Förderung "
"595","Foro Femenino Ma Maeztu"
"596","Religiosas Hermanas Terciarias"
"597","Oxfam Intermon"
"598","Accio Solidaria IGMAN"
"599","Religiosas Franciscanas Mision"
"600","Religiosas de Jesus-Maria"
"601","Afghanaid"
"602","Verein zur Unterstützung von Schulen für afgh. Flüchtlingskinder e.V"
"603","The Emergency Management Agency of Greater Copenhagen"
"604","Afghan Mobile Reconstruction Association"
"605","Afghan Research and Evaluation Unit"
"606","Hellenic Rescue Team"
"607","SWIFT RONCO"
"608","WTB International Development"
"609","Eagle Global Logistics"
"610","Albanian Red Cross"
"611","Logenix"
"612","Panalpina Airfreight Incorporated"
"613","Human Help Network e.V."
"614","SAM - Schweizer Allianz Mission"
"615","Air Charter World"
"616","Human Rights Division of the United Nations Mission in Angola"
"617","Ernesto Sabato Foundation"
"618","Associazione per la Participazione allo Svillupo"
"619","Practical Action (formerly Intermediate Technology Development Group)"
"620","Asian Disaster Preparedness Centre"
"621","Disaster Relief Agency"
"622","New South Wales Relief Fund"
"623","Bolivian Red Cross"
"624","Erika Weissenböck"
"625","Association Morija"
"626","International Foundation for Election Systems"
"627","Transcultural Psychosocial Organisation"
"628","OAP"
"629","National Democratic Institute for International Affairs/International Republican Institute"
"630","National Democratic Institute"
"631","Maison Shalom Ruyigi"
"632","REA - Réhabilitation  Education Aide social"
"633","Share Association of Guatemala"
"634","MediCuba-Suisse"
"635","Hogar de Cristo Santiago"
"636","Mission 21, Basle"
"637","Handicap International Belgium"
"638","CIVIC (Valid until August 2012)"
"639","Grupo Col. - Suisse"
"640","Spanish Religious Organizations"
"641","Baptist World Aid"
"642","Comite de crise ""Nyiragongo 2002"""
"643","Norwegian Aid Committee"
"644","Daniela Punz"
"645","Czech Red Cross"
"646","UNDP for UNDSS"
"647","Population Services International"
"648","Premiere Urgence"
"649","ELIMU"
"650","Hirondelle Radio Okapi"
"651","BUCO - CRONGD"
"652","Commission for Reception, Truth and Reconciliation"
"653","ALDHU - Latin American Association for Human Rights "
"654","Norges Geotekniske Institutt"
"655","United Nations Mission in Ethiopia and Eritrea"
"656","Emergencies Unit for Ethiopia"
"657","Leprosy Aid Switzerland"
"658","Rwandan Red Cross "
"659","Handicap International France"
"660","Clinton Bush Haiti Fund"
"661","Partners in Health"
"662","Peace Corps"
"663","Lesotho Ministry of Agriculture and CARE Lesotho"
"664","Emmanuel International"
"665","Plan Norge"
"666","Malawi"
"667","Inter Aide"
"668","Kindernothilfe e.V."
"669","Misericordia International Center Day Care"
"670","Bienvenu Refugee Shelter"
"671","GFC"
"672","Southern African Development Community"
"673","Cooperative League of the USA"
"674","Farm Community Trust of Zimbabwe"
"675","PACTEC"
"676","Food Security Network"
"677","Pact Inc."
"678","Relief and Recovery Unit - Zimbabwe"
"679","International Training Inc."
"680","ACT Alliance / Christian Care"
"681","ACT Alliance / Christian Aid UK"
"682","Swedish Missionary Association"
"683","Disaster Mitigation Institute"
"684","Geohazards International"
"685","ROFI Industrier AS"
"686","Jamaica Red Cross"
"687","Department of Settlement and Regional Infrastructure (Kimpraswil)"
"688","Bidan Kesehatan Department of Health Indonesia"
"689","African Medical and Research Foundation"
"690","Rural Focus"
"691","ACH-UK/INTERMON"
"692","Triangle Génération Humanitaire"
"693","SWEFOR - Swedish Fellowship of Reconciliation"
"694","The Palestine Solidarity Association in Sweden"
"695","Inter Cooperation"
"696","Ft. Petrus Obermüller"
"697","Active Learning Network for Accountability and Performance"
"698","Academy for Educational Development"
"699","Seeds of Peace"
"700","Harvard University"
"701","DCP-TV"
"702","University of Geneva"
"703","SST"
"704","Moroccan Red Crescent"
"705","InWent"
"706","Danidas Health Sector Programme Support "
"707","Comité d'Aide Médicale"
"708","Committee partnersh Linz- San Carlos"
"709","Louis Berger"
"710","IHI - International Humanitarian Initiative"
"711","Agency for Rehabilitation and Development"
"712","Humanitarian Cargo Carriers"
"713","The Norwegian Helsinki Committee"
"714","Waltraud Torossian-Brigasky"
"715","Caritas New Zealand"
"716","Ninôs del Cusco"
"717","Limmatstiftung Zurich"
"718","SWIFT - Society for Worldwide Interbank Financial Telecommunication"
"719","Swedish Convenant Church"
"720","Rumänienhilfe Schärding"
"721","Rumänienhilfe Liebenau"
"722","Russian Red Cross Society"
"723","CAUSE Canada"
"724","Opportunities Industrialisation Centres International"
"725","Management Systems International"
"726","United States Agency for International Development"
"727","VsF (CH) / PACE"
"728","Swift Creative, Inc."
"729","Creative Association Inc."
"730","Red Cross Society of Bosnia and Herzegovina"
"731","Rosalia Hoog"
"732","Fondation Suisse pour le Déminage"
"733","Relationships Foundation International"
"734","Karolinska Institutet, Department of Public Health Sciences"
"735","Hoffnungszeichen - Sign of Hope e.V"
"736","Association of Christian Resource Organizations Serving Sudan"
"737","Samaritan's Purse"
"738","Fellowship for African Relief"
"739","Enfants du Monde"
"740","Care Sudan"
"741","Humanitarian Aid Commission"
"742","ACT Alliance / United Church of Canada"
"743","Emmanuel International of Canada"
"744","The Carter Centre "
"745","Camp Dresser and McKee Incorporated"
"746","Airline Cargo Service"
"747","Morocco"
"748","United Nations Disengagement Observer Force"
"749","Telecom Sans Frontieres"
"750","Global Partners"
"751","Aga Khan Development Network"
"752","ACT Alliance / Interchurch Organisation for Development Co-operation"
"753","Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance"
"754","Uganda Red Cross Society"
"755","Associazione Volontari per il Servizio Internazionale"
"756","Mekong River Commission"
"757","The Swedish Organisation for Individual Relief"
"758","The Kvinna till Kvinna Foundation"
"759","The Christian Council of Sweden"
"760","Soroptimist International"
"761","MPDL - PRTM"
"762","Caritas France"
"763","The Rendon Group"
"764","Afghan Center"
"765","Mission Ost - DNK"
"766","World Vision UK"
"767","Relief International"
"768","Monitoring Evaluation And Training Agency"
"769","UN Mine Action Program"
"770","United Nations Assistance Mission for Afghanistan"
"771","Afghan Technical Consultants"
"772","Mine Clearance and Planning Agency"
"773","Management Services for Health"
"774","Right to Play"
"775","John Hopkins University"
"776","SDW"
"777","Action d'Urgence International"
"778","Secours Populaire Francais"
"779","United Nations Industrial Development Organization"
"780","Medilor"
"781","Kuehne & Nagel"
"782","SOS Villages d'Enfants"
"783","Plateforme d""insertion par l""humanitaire"
"784","Sécurité civile"
"785","IBIS"
"786","Solidaridad Internacional"
"787","Association for Cooperation, Interchange and Culture"
"788","Collegio Universitario Aspirante e Medici Missionari"
"789","Swedish Groups of Africa"
"790","Survey Action Center"
"791","Centre for Common Ground in Angola (CCG)"
"792","Angola Red Cross"
"793","Christian Children's Fund "
"794","The Asia Foundation"
"795","Freedom of Expression and of Association"
"796","University of Colorado"
"797","Terre des Hommes - Italy"
"798","Div. E+CIS"
"799","United Nations Disaster Management Team"
"800","Kobü"
"801","BMVg"
"802","Kölnische Franziskanerprovinz Von Den Heiligen Drei Königen"
"803","BRASCRI "
"804","African Mission in Burundi"
"805","NGOs; Red Cross/Red Crescent (details not yet provided)"
"806","Organization of American States"
"807","Datong"
"808","Vivamos Mejor"
"809","Parroquia Jesus Redentor"
"810","United Nations Office on Drugs and Crime"
"811","Peace Brigades International"
"812","Emergency Relief International"
"813","Foundation for the Refugee Trust"
"814","The Foundation for the Refugee Education Trust"
"815","Aviation Assistance A/S"
"816","PSF-France/Clermont-Ferrand"
"817","ATLAS"
"818","Development Alternatives Inc."
"819","United Nations Mission of Support in East Timor"
"820","Development Associates Inc."
"821","Ecuadorian Red Cross"
"822","NGO Ninez y Vida"
"823","Norwegian Pentecostal Movement"
"824","HCS"
"825","FARM Africa"
"826","ACT Alliance / Ethiopian Orthodox Church"
"827","Mentor Initiative"
"828","International Committee for the Development of Peoples"
"829","John S Connor, Inc"
"830","Fiji Red Cross Society"
"831","National Radio Appeal"
"832","Pacific Islands Forum"
"833","South Pacific Applied Geoscience Commission"
"834","Geneva International Centre for Humanitarian Demining"
"835","International Strategy for Disaster Reduction"
"836","Solidarmed"
"837","UN Agencies (details not yet provided) "
"838","Plan Haiti"
"839","FTHS"
"840","ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux"
"841","Pan American Development Foundation"
"842","CPH - Comité Protos Haïti"
"843","Kenyan Red Cross Society"
"844","Public Affairs Committee"
"845","Malawi Economic Justice Network"
"846","Global Fire Monitoring Centre"
"847","Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)"
"848","Young Men’s Christian Association"
